DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200607448,03/05/2020 12:00:00 AM,03/05/2020 12:00:00 AM,0001,06,Hollywood,0638,1,330,BURGLARY FROM VEHICLE,1822 1300 1609 0344,29,M,W,101,STREET,,,IC,Invest Cont,330,,,,5600    HOLLYWOOD                    BL,,34.1038,-118.3151
200109198,03/15/2020 12:00:00 AM,03/14/2020 12:00:00 AM,1700,01,Central,0118,2,946,OTHER MISCELLANEOUS CRIME,0906 1212,0,M,H,101,STREET,,,AO,Adult Other,946,,,,MAIN                         ST,ELMYRA                       ST,34.0644,-118.232
200705379,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1805,07,Wilshire,0727,2,624,BATTERY - SIMPLE ASSAULT,0400,27,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,100 N  MC CADDEN                    PL,,34.0736,-118.3372
200505779,02/10/2020 12:00:00 AM,02/10/2020 12:00:00 AM,2050,05,Harbor,0517,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,77,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1100 N  AVALON                       BL,,33.7848,-118.2628
200104766,01/11/2020 12:00:00 AM,01/06/2020 12:00:00 AM,0400,01,Central,0111,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,38,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,600 N  FIGUEROA                     ST,,34.0627,-118.2463
200111148,04/29/2020 12:00:00 AM,04/28/2020 12:00:00 AM,2100,01,Central,0192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 0416 0913 1218 1813,19,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,18TH                         ST,GRAND                        AV,34.0348,-118.2673
200104754,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1015,01,Central,0145,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 1414,58,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,LOS ANGELES,5TH                          ST,34.0461,-118.2476
200613490,08/04/2020 12:00:00 AM,08/03/2020 12:00:00 AM,1900,06,Hollywood,0667,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5900    FOUNTAIN                     AV,,34.0944,-118.3184
200717384,12/22/2020 12:00:00 AM,12/22/2020 12:00:00 AM,2000,07,Wilshire,0734,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,47,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,6300 W  3RD                          ST,,34.0713,-118.3595
201016472,12/28/2020 12:00:00 AM,12/28/2020 12:00:00 AM,0631,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1307 1420 0202 2004,0,M,W,202,LIQUOR STORE,,,IC,Invest Cont,740,,,,6800    RESEDA                       BL,,34.1939,-118.536
200509601,05/18/2020 12:00:00 AM,05/18/2020 12:00:00 AM,1315,05,Harbor,0511,2,624,BATTERY - SIMPLE ASSAULT,0429 1822 1261 0446 0416,29,M,B,101,STREET,511,VERBAL THREAT,IC,Invest Cont,624,,,,BELLE PORTE,255TH,33.7925,-118.3012
200917712,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,2230,09,Van Nuys,0985,2,624,BATTERY - SIMPLE ASSAULT,0401,30,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,14000    VENTURA                      BL,,34.149,-118.4372
200715421,10/28/2020 12:00:00 AM,10/26/2020 12:00:00 AM,1610,07,Wilshire,0701,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,27,F,O,145,MAIL BOX,,,IC,Invest Cont,440,,,,N  HAYWORTH,CLINTON                      ST,34.0816,-118.3627
200505086,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,1430,05,Harbor,0509,1,761,BRANDISH WEAPON,0334 0603 0913 0361 0421 0319,38,F,B,501,SINGLE FAMILY DWELLING,207,OTHER KNIFE,IC,Invest Cont,761,,,,1300 W  251ST                        ST,,33.7968,-118.2999
201219160,08/23/2020 12:00:00 AM,08/23/2020 12:00:00 AM,0830,12,77th Street,1251,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,25,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,3300 W  FLORENCE                     AV,,33.9745,-118.3302
200609791,05/03/2020 12:00:00 AM,04/30/2020 12:00:00 AM,1140,06,Hollywood,0663,2,662,"BUNCO, GRAND THEFT",1822 0701,26,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,1100 N  SYCAMORE                     AV,,34.0907,-118.3428
200516083,11/01/2020 12:00:00 AM,11/01/2020 12:00:00 AM,1230,05,Harbor,0501,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0104 1309 0344 0202 0216 0325,0,X,X,407,HARDWARE/BUILDING SUPPLY,,,IC,Invest Cont,343,,,,700 W  182ND                        ST,,33.8696,-118.2865
201309887,04/25/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1400,13,Newton,1367,2,888,TRESPASSING,1607 2004,66,M,H,213,WAREHOUSE,,,AO,Adult Other,888,,,,4400    LONG BEACH                   AV,,34.0035,-118.2431
200604290,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1230,06,Hollywood,0648,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0337 0443 0913,25,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,930,,,5500    HAROLD                       WY,,34.0994,-118.3093
200215427,09/25/2020 12:00:00 AM,09/24/2020 12:00:00 AM,2330,02,Rampart,0245,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0334 0432 1300 0416 0445 0906 0371 1000 1822,49,M,H,108,PARKING LOT,304,CLUB/BAT,AA,Adult Arrest,230,,,,PARK VIEW,7TH                          ST,34.0581,-118.2805
200616001,09/28/2020 12:00:00 AM,09/28/2020 12:00:00 AM,1430,06,Hollywood,0669,2,624,BATTERY - SIMPLE ASSAULT,0400 0356 0913,26,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,625,,,OXFORD,FLEMISH,34.0908,-118.3073
200707294,03/11/2020 12:00:00 AM,03/11/2020 12:00:00 AM,0130,07,Wilshire,0723,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,38,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,956,,,,8000    BEVERLY                      BL,,34.0761,-118.3637
200608940,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,0550,06,Hollywood,0637,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 0411,42,M,W,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,230,,,,HOLLYWOOD                    FY,GOWER,34.1044,-118.3224
200607512,03/07/2020 12:00:00 AM,03/05/2020 12:00:00 AM,2100,06,Hollywood,0659,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307 0329,27,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,5100    FOUNTAIN                     AV,,34.0966,-118.3049
200806875,03/03/2020 12:00:00 AM,02/19/2020 12:00:00 AM,2100,08,West LA,0813,2,354,THEFT OF IDENTITY,0100 1822 0930 1202,80,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11900    CHALON                       RD,,34.0848,-118.4797
200908876,04/24/2020 12:00:00 AM,03/18/2020 12:00:00 AM,2300,09,Van Nuys,0952,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0443,15,M,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,,,,5500 N  SEPULVEDA                    BL,,34.1703,-118.4662
200914964,09/21/2020 12:00:00 AM,09/19/2020 12:00:00 AM,2240,09,Van Nuys,0932,1,310,BURGLARY,0314 0344 1606,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,14700    SYLVAN                       ST,,34.1846,-118.4531
200906434,02/24/2020 12:00:00 AM,02/22/2020 12:00:00 AM,0001,09,Van Nuys,0969,1,330,BURGLARY FROM VEHICLE,0344 0358 1307,25,M,A,101,STREET,,,IC,Invest Cont,330,,,,5100    COLDWATER CANYON             AV,,34.1634,-118.4137
201109437,05/17/2020 12:00:00 AM,05/17/2020 12:00:00 AM,0248,11,Northeast,1105,1,310,BURGLARY,1822 0321 1402 0344,0,X,X,247,CAR WASH,,,IC,Invest Cont,310,998,,,2700    COLORADO                     BL,,34.1442,-118.218
200518051,12/21/2020 12:00:00 AM,12/20/2020 12:00:00 AM,2100,05,Harbor,0529,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,PIONEER,G                            ST,33.7793,-118.248
200216941,10/31/2020 12:00:00 AM,10/31/2020 12:00:00 AM,0800,02,Rampart,0256,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 1252 1309 1822,42,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,BONNIE BRAE,34.0585,-118.2725
200705964,02/11/2020 12:00:00 AM,02/10/2020 12:00:00 AM,2000,07,Wilshire,0753,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344,25,F,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,1100 S  SPAULDING                    AV,,34.0561,-118.36
200612630,07/15/2020 12:00:00 AM,07/13/2020 12:00:00 AM,0300,06,Hollywood,0647,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0352 0913,24,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,1500    VINE                         ST,,34.098,-118.3266
