DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210915533,10/19/2021 12:00:00 AM,10/19/2021 12:00:00 AM,0250,09,Van Nuys,0952,1,330,BURGLARY FROM VEHICLE,0344 1822,38,M,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,5300 N  SEPULVEDA                    BL,,34.1667,-118.4662
212010598,06/19/2021 12:00:00 AM,06/18/2021 12:00:00 AM,1600,20,Olympic,2022,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3RD                          ST,ST ANDREWS                   PL,34.069,-118.3116
210717201,12/26/2021 12:00:00 AM,11/29/2021 12:00:00 AM,1200,07,Wilshire,0734,2,354,THEFT OF IDENTITY,0928,29,F,C,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,400 S  BURNSIDE                     AV,,34.0662,-118.3506
211004583,01/19/2021 12:00:00 AM,01/17/2021 12:00:00 AM,1800,10,West Valley,1011,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,7300    WILBUR                       AV,,34.203,-118.5448
210511891,07/26/2021 12:00:00 AM,07/26/2021 12:00:00 AM,1730,05,Harbor,0528,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 2004,0,X,X,301,GAS STATION,,,IC,Invest Cont,745,,,,1400 E  PACIFIC COAST                HY,,33.7875,-118.2479
211009187,06/19/2021 12:00:00 AM,06/14/2021 12:00:00 AM,0700,10,West Valley,1034,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CALVERT,ETIWANDA,34.1818,-118.5317
210218086,11/29/2021 12:00:00 AM,11/19/2021 12:00:00 AM,0900,02,Rampart,0236,2,662,"BUNCO, GRAND THEFT",1309 0342 1202 0701 0800 1822,78,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,662,,,,1800 W  3RD                          ST,,34.0657,-118.268
211409126,04/02/2021 12:00:00 AM,04/02/2021 12:00:00 AM,0850,14,Pacific,1488,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0400,42,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,8600    AIRPORT                      BL,,33.9593,-118.3856
221805906,02/12/2022 12:00:00 AM,12/12/2021 12:00:00 AM,0001,18,Southeast,1849,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1202,64,M,B,108,PARKING LOT,,,IC,Invest Cont,420,,,,1900 E  IMPERIAL                     HY,,33.9295,-118.2384
210517060,12/11/2021 12:00:00 AM,12/08/2021 12:00:00 AM,1100,05,Harbor,0541,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0302 0432 1243 1814 1402 0907 0913 0443,25,F,W,507,CONDOMINIUM/TOWNHOUSE,102,HAND GUN,AA,Adult Arrest,236,998,,,1400    BRETT                        PL,,33.7553,-118.3056
212007373,03/28/2021 12:00:00 AM,03/27/2021 12:00:00 AM,1300,20,Olympic,2026,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,300 S  NEW HAMPSHIRE                AV,,34.0674,-118.2929
211106550,03/17/2021 12:00:00 AM,01/27/2021 12:00:00 AM,1059,11,Northeast,1117,2,354,THEFT OF IDENTITY,0930,70,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1800 N  AVENUE 51,,34.1294,-118.2108
211512332,07/26/2021 12:00:00 AM,07/20/2021 12:00:00 AM,1200,15,N Hollywood,1555,2,354,THEFT OF IDENTITY,1402,0,M,O,602,BANK,,,IC,Invest Cont,354,998,,,5000    LANKERSHIM                   BL,,34.1611,-118.3723
210708703,05/13/2021 12:00:00 AM,05/10/2021 12:00:00 AM,1655,07,Wilshire,0721,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1822 0344 0378,36,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,343,,,,8500    BEVERLY                      BL,,34.0761,-118.3772
210810776,06/23/2021 12:00:00 AM,06/23/2021 12:00:00 AM,1110,08,West LA,0823,1,310,BURGLARY,1606 1822 2004,64,M,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,600    SWARTHMORE                   AV,,34.0402,-118.5276
210619230,11/17/2021 12:00:00 AM,11/17/2021 12:00:00 AM,1200,06,Hollywood,0647,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0913 0416 0400 1402 0447,41,M,B,710,OTHER PREMISE,212,BOTTLE,AO,Adult Other,230,998,,,VAN NESS,SUNSET,34.0981,-118.3158
