DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210311210,06/04/2021 12:00:00 AM,06/04/2021 12:00:00 AM,1855,03,Southwest,0378,2,624,BATTERY - SIMPLE ASSAULT,1822 1251 0202 0448 0509,21,F,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3900 S  FIGUEROA                     ST,,34.0146,-118.2872
210905160,01/30/2021 12:00:00 AM,01/30/2021 12:00:00 AM,0230,09,Van Nuys,0935,2,623,BATTERY POLICE (SIMPLE),2004 0400 0416,29,F,H,753,DETENTION/JAIL FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623,,,,6200    SYLMAR                       AV,,34.1837,-118.4465
210717345,12/31/2021 12:00:00 AM,12/30/2021 12:00:00 AM,1140,07,Wilshire,0723,2,888,TRESPASSING,1402,72,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,888,998,,,8100    BEVERLY                      BL,,34.0761,-118.3665
211711206,08/02/2021 12:00:00 AM,08/02/2021 12:00:00 AM,1330,17,Devonshire,1764,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0352 2024,0,X,X,203,OTHER BUSINESS,,,JA,Juv Arrest,442,,,,9300    TAMPA                        AV,,34.244,-118.5583
221706412,03/09/2022 12:00:00 AM,01/09/2021 12:00:00 AM,1100,17,Devonshire,1752,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,,,AO,Adult Other,668,,,,21300    DEVONSHIRE                   ST,,34.2572,-118.5951
210122973,12/29/2021 12:00:00 AM,12/28/2021 12:00:00 AM,1530,01,Central,0135,1,310,BURGLARY,0344 1414 1601 1822,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,100 W  2ND                          ST,,34.051,-118.2445
212008239,04/19/2021 12:00:00 AM,04/19/2021 12:00:00 AM,0300,20,Olympic,2002,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0445 0416 0202 1218,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308,STICK,IC,Invest Cont,230,,,,MAPLEWOOD                    AV,WESTERN                      AV,34.0803,-118.3091
210212238,07/21/2021 12:00:00 AM,07/21/2021 12:00:00 AM,2145,02,Rampart,0261,1,210,ROBBERY,0906 1259 1822 0342 0400 0344 0352,16,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,2400    JAMES M WOOD                 BL,,34.0567,-118.2815
211406760,02/19/2021 12:00:00 AM,02/19/2021 12:00:00 AM,1450,14,Pacific,1494,2,888,TRESPASSING,2004,0,X,X,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,888,,,,300    WORLD WAY,,0,0
211712498,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,1700,17,Devonshire,1723,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,21000    DEVONSHIRE                   ST,,34.2573,-118.5911
