DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201810923,05/10/2020 12:00:00 AM,05/09/2020 12:00:00 AM,1000,18,Southeast,1802,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1501 0329,42,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,2000    SANTA ANA                    BL,,33.956,-118.2772
210915822,10/27/2021 12:00:00 AM,11/27/2020 12:00:00 AM,1500,09,Van Nuys,0955,2,649,DOCUMENT FORGERY / STOLEN FELONY,0928 1822,0,X,X,255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",,,AO,Adult Other,649,,,,5200    VAN NUYS                     BL,,34.1668,-118.4445
201418733,10/13/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1900,14,Pacific,1453,1,330,BURGLARY FROM VEHICLE,0344 1300 1607,30,M,W,101,STREET,,,IC,Invest Cont,330,,,,BEACH                        AV,GLENCOE,33.9913,-118.4442
201911811,07/06/2020 12:00:00 AM,07/02/2020 12:00:00 AM,1200,19,Mission,1935,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,40,M,H,724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,,,IC,Invest Cont,740,,,,11400    SHARP                        AV,,34.2775,-118.457
211318184,10/28/2021 12:00:00 AM,06/01/2020 12:00:00 AM,0800,13,Newton,1383,2,649,DOCUMENT FORGERY / STOLEN FELONY,0344,47,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,100 W  59TH                         ST,,33.9869,-118.2758
201707968,04/05/2020 12:00:00 AM,04/05/2020 12:00:00 AM,1620,17,Devonshire,1723,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1606 0377 1822 1501 0344,29,M,H,101,STREET,,,IC,Invest Cont,420,,,,20600    CHATSWORTH                   ST,,34.2645,-118.5822
201512435,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1210,15,N Hollywood,1516,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,72,M,W,203,OTHER BUSINESS,511,VERBAL THREAT,AO,Adult Other,930,,,,11600    VANOWEN                      ST,,34.1939,-118.3851
201817686,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1815,18,Southeast,1846,2,624,BATTERY - SIMPLE ASSAULT,0602 0913 0561 0416 1268 2033,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1400 E  111TH                        PL,,33.934,-118.2498
201506322,02/17/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1713,15,N Hollywood,1525,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,0,M,W,301,GAS STATION,,,IC,Invest Cont,440,,,,11700    VICTORY                      BL,,34.1867,-118.3878
201606887,03/09/2020 12:00:00 AM,03/09/2020 12:00:00 AM,0410,16,Foothill,1654,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,12000    BRANFORD                     ST,,34.257,-118.3994
201313171,06/29/2020 12:00:00 AM,06/27/2020 12:00:00 AM,0930,13,Newton,1365,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1202 1300 0344 0385,76,M,B,108,PARKING LOT,,,IC,Invest Cont,331,,,,5000    COMPTON                      AV,,33.9994,-118.2499
