DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241611051,10/26/2024 12:00:00 AM,08/16/2024 12:00:00 AM,1040,16,Foothill,1634,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,75,F,W,109,PARK/PLAYGROUND,,,IC,Invest Cont,341,,,,11700    FOOTHILL                     BL,,34.2729,-118.3909
241909297,06/04/2024 12:00:00 AM,05/13/2024 12:00:00 AM,1700,19,Mission,1961,2,624,BATTERY - SIMPLE ASSAULT,0416 0361 0603 0913 0429,14,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624,,,,9200 N  SEPULVEDA                    BL,,34.2377,-118.4677
240217030,11/13/2024 12:00:00 AM,11/04/2024 12:00:00 AM,1940,02,Rampart,0245,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0400 0416,40,M,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,2200 W  6TH                          ST,,34.0601,-118.2761
241212076,05/28/2024 12:00:00 AM,05/24/2024 12:00:00 AM,1800,12,77th Street,1241,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6600    11TH                         AV,,33.9797,-118.3294
241610871,06/18/2024 12:00:00 AM,06/18/2024 12:00:00 AM,2015,16,Foothill,1676,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,63,F,W,110,FREEWAY,,,IC,Invest Cont,740,,,,8800    GLENOAKS                     BL,,34.2287,-118.3653
240411071,10/25/2024 12:00:00 AM,10/25/2024 12:00:00 AM,1450,04,Hollenbeck,0497,1,330,BURGLARY FROM VEHICLE,1302 0344 1300,31,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,330,,,,2700 E  OLYMPIC                      BL,,34.0243,-118.2198
242108517,04/28/2024 12:00:00 AM,04/28/2024 12:00:00 AM,1250,21,Topanga,2136,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2038 2000 1814 0408 0429 0913,38,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,7300    MILWOOD                      AV,,34.2029,-118.5943
241410024,04/07/2024 12:00:00 AM,04/07/2024 12:00:00 AM,0100,14,Pacific,1412,1,121,"RAPE, FORCIBLE",0527 1822 0515,21,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,700    PACIFIC                      AV,,33.993,-118.4765
241304907,01/20/2024 12:00:00 AM,01/20/2024 12:00:00 AM,2230,13,Newton,1346,1,330,BURGLARY FROM VEHICLE,1307 0329 0344,40,F,H,101,STREET,,,IC,Invest Cont,330,,,,4200    HOOPER                       AV,,34.0076,-118.2521
240113673,06/29/2024 12:00:00 AM,06/29/2024 12:00:00 AM,0655,01,Central,0119,2,888,TRESPASSING,0910,0,X,X,900,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
241507742,03/17/2024 12:00:00 AM,03/17/2024 12:00:00 AM,1415,15,N Hollywood,1596,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 1822 0443 0416,25,F,H,203,OTHER BUSINESS,512,MACE/PEPPER SPRAY,IC,Invest Cont,230,,,,10600    VENTURA                      BL,,34.1372,-118.3633
240407582,05/14/2024 12:00:00 AM,05/10/2024 12:00:00 AM,2200,04,Hollenbeck,0459,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 0344,53,M,H,101,STREET,,,IC,Invest Cont,331,,,,700    BLADES                       ST,,34.0461,-118.1972
240106297,01/30/2024 12:00:00 AM,01/30/2024 12:00:00 AM,1300,01,Central,0182,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,50,F,B,724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,,,IC,Invest Cont,440,,,,1000 S  OLIVE                        ST,,34.0423,-118.2595
240109782,03/31/2024 12:00:00 AM,03/31/2024 12:00:00 AM,0100,01,Central,0134,1,352,PICKPOCKET,0344,49,M,W,207,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,352,,,,300 S  BROADWAY,,34.051,-118.248
240207263,03/04/2024 12:00:00 AM,02/26/2024 12:00:00 AM,1200,02,Rampart,0201,2,662,"BUNCO, GRAND THEFT",0701 0800 1822 0113,37,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,700 N  KENMORE                      AV,,34.0836,-118.297
241908560,05/04/2024 12:00:00 AM,05/03/2024 12:00:00 AM,1600,19,Mission,1906,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1906 1822,40,M,H,721,HIGH SCHOOL,511,VERBAL THREAT,IC,Invest Cont,930,,,,13500    ELDRIDGE                     AV,,34.3218,-118.4295
241308057,04/03/2024 12:00:00 AM,04/02/2024 12:00:00 AM,2150,13,Newton,1361,1,330,BURGLARY FROM VEHICLE,0344 1307 1609 1300,23,F,H,101,STREET,,,IC,Invest Cont,330,,,,4900 S  MAIN                         ST,,33.9998,-118.2774
240812255,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,1313,08,West LA,0817,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,10800    WEYBURN                      AV,,34.0623,-118.4434
241007878,04/10/2024 12:00:00 AM,04/06/2024 12:00:00 AM,0800,10,West Valley,1035,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0602 0913 0552 0400 0417 0448,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627,,,,18200    WELBY                        WY,,34.193,-118.5299
240110723,04/26/2024 12:00:00 AM,04/24/2024 12:00:00 AM,2200,01,Central,0101,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,31,F,O,104,DRIVEWAY,,,IC,Invest Cont,331,,,,900 N  BEAUDRY                      AV,,34.0678,-118.2466
241904851,01/23/2024 12:00:00 AM,01/22/2024 12:00:00 AM,1700,19,Mission,1998,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,33,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,7800    PEACHTREE                    AV,,34.2126,-118.4339
242109782,06/17/2024 12:00:00 AM,06/17/2024 12:00:00 AM,1415,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0906 0378 1420 0325,35,M,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,21400    VICTORY                      BL,,34.1884,-118.5975
242107810,04/08/2024 12:00:00 AM,04/06/2024 12:00:00 AM,1200,21,Topanga,2158,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,41,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,341,,,,6100    DE SOTO                      AV,,34.1818,-118.5904
241407609,03/18/2024 12:00:00 AM,03/18/2024 12:00:00 AM,2320,14,Pacific,1415,1,480,BIKE - STOLEN,0344,35,F,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480,,,,900    INDIANA                      AV,,33.9993,-118.4636
241004492,01/14/2024 12:00:00 AM,01/14/2024 12:00:00 AM,1200,10,West Valley,1097,1,310,BURGLARY,0344 1822 0358 1609 0321,44,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,3600    BALLINA CANYON               RD,,34.1369,-118.4927
240811823,11/05/2024 12:00:00 AM,11/02/2024 12:00:00 AM,2132,08,West LA,0852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0378 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
241410737,06/27/2024 12:00:00 AM,06/19/2024 12:00:00 AM,2000,14,Pacific,1496,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,9600 S  SEPULVEDA                    BL,,33.9485,-118.3961
241907400,04/02/2024 12:00:00 AM,04/01/2024 12:00:00 AM,0001,19,Mission,1924,1,330,BURGLARY FROM VEHICLE,0344,34,M,H,101,STREET,,,IC,Invest Cont,330,,,,14900    ASTORIA                      ST,,34.2963,-118.4555
240316052,11/09/2024 12:00:00 AM,11/08/2024 12:00:00 AM,1800,03,Southwest,0338,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1100 W  30TH                         ST,,34.0275,-118.2868
241909300,06/04/2024 12:00:00 AM,06/02/2024 12:00:00 AM,1930,19,Mission,1907,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,13000    HAGAR                        ST,,34.303,-118.4161
242104927,01/23/2024 12:00:00 AM,01/20/2024 12:00:00 AM,1315,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,W,409,BEAUTY SUPPLY STORE,,,IC,Invest Cont,442,,,,6600    TOPANGA CANYON               BL,,34.1904,-118.6059
241500562,02/12/2024 12:00:00 AM,02/11/2024 12:00:00 AM,1430,15,N Hollywood,1583,1,310,BURGLARY,1402 1822 0344 0352,40,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310,998,,,4100    BECK                         AV,,34.1425,-118.3833
242014047,12/02/2024 12:00:00 AM,11/30/2024 12:00:00 AM,1700,20,Olympic,2081,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1202 1822,0,X,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1800 S  WESTERN                      AV,,34.0418,-118.3134
241308200,04/08/2024 12:00:00 AM,04/08/2024 12:00:00 AM,1150,13,Newton,1331,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GRAND                        ST,27TH                         ST,34.0254,-118.2729
241506087,02/13/2024 12:00:00 AM,02/11/2024 12:00:00 AM,2200,15,N Hollywood,1588,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0337 0431 1822 1501,61,M,W,501,SINGLE FAMILY DWELLING,512,MACE/PEPPER SPRAY,IC,Invest Cont,230,,,,3400    FLOYD TERR,,34.134,-118.3441
241216808,11/04/2024 12:00:00 AM,11/04/2024 12:00:00 AM,1645,12,77th Street,1283,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900 W  95TH                         ST,,33.9498,-118.3118
240604300,01/07/2024 12:00:00 AM,01/06/2024 12:00:00 AM,2345,06,Hollywood,0646,1,330,BURGLARY FROM VEHICLE,1307 1609 1300 0329 0344 1822,28,F,H,101,STREET,,,IC,Invest Cont,330,,,,WILCOX,SANTA MONICA,34.0987,-118.3337
241308333,04/12/2024 12:00:00 AM,04/12/2024 12:00:00 AM,0100,13,Newton,1333,1,330,BURGLARY FROM VEHICLE,0344 1300,30,M,H,101,STREET,,,IC,Invest Cont,330,,,,800 E  33RD                         ST,,34.0154,-118.2629
241907030,03/21/2024 12:00:00 AM,03/20/2024 12:00:00 AM,1930,19,Mission,1963,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VESPER                       AV,WOODMAN                      AV,34.2497,-118.4499
240511485,09/22/2024 12:00:00 AM,09/21/2024 12:00:00 AM,2130,05,Harbor,0503,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1400 W  PACIFIC COAST                HY,,33.7941,-118.29
240115725,07/30/2024 12:00:00 AM,07/30/2024 12:00:00 AM,0800,01,Central,0119,2,888,TRESPASSING,0910,0,X,X,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
241708145,04/09/2024 12:00:00 AM,04/05/2024 12:00:00 AM,0430,17,Devonshire,1777,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 0344,36,F,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,331,,,,16200    TUPPER                       ST,,34.2393,-118.4856
242012049,09/26/2024 12:00:00 AM,09/26/2024 12:00:00 AM,1820,20,Olympic,2076,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 1822,22,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,2500 W  PICO                         BL,,34.0473,-118.2916
240200605,02/25/2024 12:00:00 AM,02/25/2024 12:00:00 AM,0616,02,Rampart,0279,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1402 0401 0907 2000 0913 1814 0416 2038 0445 2004,41,F,H,501,SINGLE FAMILY DWELLING,304,CLUB/BAT,AA,Adult Arrest,236,998,,,1000 S  ALBANY                       ST,,34.0475,-118.2714
241514456,10/04/2024 12:00:00 AM,10/04/2024 12:00:00 AM,1110,15,N Hollywood,1585,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1822 0325 2100,0,M,O,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,11200    VENTURA                      BL,,34.143,-118.3727
241411394,07/17/2024 12:00:00 AM,07/17/2024 12:00:00 AM,0240,14,Pacific,1438,1,330,BURGLARY FROM VEHICLE,1300 1822 1609 0321 0344 0358,33,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,330,,,,3700    MIDVALE                      AV,,34.0184,-118.4123
241008713,05/10/2024 12:00:00 AM,03/13/2024 12:00:00 AM,0800,10,West Valley,1044,2,649,DOCUMENT FORGERY / STOLEN FELONY,1822 0924,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,649,,,,18300    OXNARD                       ST,,34.1802,-118.5308
241610960,10/20/2024 12:00:00 AM,10/20/2024 12:00:00 AM,1900,16,Foothill,1643,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394,63,M,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,13100    TERRA BELLA                  ST,,34.2583,-118.4184
240806109,02/25/2024 12:00:00 AM,02/25/2024 12:00:00 AM,0123,08,West LA,0826,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,51,F,H,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,930,,,,11900    SAN VICENTE                  BL,,34.0523,-118.4729
240507466,04/01/2024 12:00:00 AM,04/01/2024 12:00:00 AM,1910,05,Harbor,0585,2,901,VIOLATION OF RESTRAINING ORDER,2000 2038 1309,39,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,901,,,,2300 S  GRAND                        AV,,33.7234,-118.2903
