DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200308027,03/03/2020 12:00:00 AM,03/03/2020 12:00:00 AM,1400,03,Southwest,0358,1,480,BIKE - STOLEN,0344 1251,19,F,W,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,480,,,,3600    MCCLINTOCK                   AV,,34.022,-118.289
201104310,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1655,11,Northeast,1102,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0325,0,X,X,412,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",,,IC,Invest Cont,341,,,,2900    LOS FELIZ                    BL,,34.1367,-118.2713
200807441,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,1320,08,West LA,0855,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1300 2000 1501,38,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1500    MIDVALE                      AV,,34.0536,-118.4416
200915061,09/24/2020 12:00:00 AM,09/22/2020 12:00:00 AM,1200,09,Van Nuys,0915,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,35,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,7100    VAN NUYS                     BL,,34.1994,-118.4488
200515546,10/20/2020 12:00:00 AM,10/17/2020 12:00:00 AM,2030,05,Harbor,0513,1,121,"RAPE, FORCIBLE",1817 1402 1309 0913 0522 1218 1215 0908,33,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,1400 W  PACIFIC COAST                HY,,33.7907,-118.2829
200211641,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,1520,02,Rampart,0233,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0601 0329 2004 1402,0,X,X,210,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,740,998,,,2500 W  TEMPLE                       ST,,34.0735,-118.2771
200509256,05/10/2020 12:00:00 AM,05/10/2020 12:00:00 AM,0050,05,Harbor,0516,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1300 N  AVALON                       BL,,33.7868,-118.2658
200908850,04/24/2020 12:00:00 AM,04/23/2020 12:00:00 AM,1600,09,Van Nuys,0916,1,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,13700    SHERMAN                      WY,,34.2012,-118.4313
200122554,12/20/2020 12:00:00 AM,12/19/2020 12:00:00 AM,1900,01,Central,0185,1,330,BURGLARY FROM VEHICLE,0329 1822 1609 1307 0321,27,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,1200 S  BROADWAY,,34.0377,-118.2607
201225411,11/28/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2000,12,77th Street,1207,1,761,BRANDISH WEAPON,0913 0448 0416 0429 0417 1276 0334,26,F,B,501,SINGLE FAMILY DWELLING,304,CLUB/BAT,AO,Adult Other,624,761,,,900 W  45TH                         ST,,34.0027,-118.2903
200813822,09/07/2020 12:00:00 AM,09/07/2020 12:00:00 AM,1630,08,West LA,0825,2,624,BATTERY - SIMPLE ASSAULT,0444 0429 0416 0554,49,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624,,,,200 S  ANITA                        AV,,34.0549,-118.4828
201108283,04/13/2020 12:00:00 AM,04/13/2020 12:00:00 AM,0200,11,Northeast,1171,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600    DILLON                       ST,,34.0898,-118.2712
200106905,02/11/2020 12:00:00 AM,02/01/2020 12:00:00 AM,2215,01,Central,0142,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,22,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,4TH                          ST,OLIVE                        ST,34.0512,-118.252
200908910,04/25/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1400,09,Van Nuys,0938,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,13300    DEBBY                        ST,,34.1841,-118.4236
200321343,12/06/2020 12:00:00 AM,12/06/2020 12:00:00 AM,2300,03,Southwest,0332,2,901,VIOLATION OF RESTRAINING ORDER,0360 0561 0913 1202 1242 2004 2038,69,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,2800    HILLCREST                    DR,,34.0294,-118.3429
201010953,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1900,10,West Valley,1005,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7900    CHASTAIN                     PL,,34.2145,-118.5236
200817144,12/03/2020 12:00:00 AM,12/01/2020 12:00:00 AM,2130,08,West LA,0833,1,330,BURGLARY FROM VEHICLE,0344 1822 0321 0386,18,F,O,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,10900    WELLWORTH                    AV,,34.0569,-118.4431
