DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230300682,05/19/2023 12:00:00 AM,05/19/2023 12:00:00 AM,0900,03,Southwest,0391,1,761,BRANDISH WEAPON,0602 0561 0913 0421 0334 0329 1402,53,F,B,501,SINGLE FAMILY DWELLING,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,761,930,,,4200 W  DON TOMASO                   DR,,34.0048,-118.3473
231507057,03/14/2023 12:00:00 AM,03/14/2023 12:00:00 AM,1750,15,N Hollywood,1541,2,940,EXTORTION,1912,17,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,5200    BELLAIRE                     AV,,34.1649,-118.4094
230611539,06/22/2023 12:00:00 AM,06/16/2023 12:00:00 AM,0300,06,Hollywood,0666,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0443 1501 0329 0422 1814,49,F,H,108,PARKING LOT,511,VERBAL THREAT,AA,Adult Arrest,930,,,,6500 W  SUNSET                       BL,,34.098,-118.3314
230507768,04/14/2023 12:00:00 AM,04/14/2023 12:00:00 AM,2130,05,Harbor,0564,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 N  MESA                         ST,,33.7433,-118.2857
230306690,02/20/2023 12:00:00 AM,02/20/2023 12:00:00 AM,1045,03,Southwest,0338,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1251,19,F,B,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440,,,,1000 W  30TH                         ST,,34.0274,-118.2846
230717461,11/24/2023 12:00:00 AM,11/23/2023 12:00:00 AM,2145,07,Wilshire,0732,2,888,TRESPASSING,1402,52,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,998,,,6500    MARYLAND                     DR,,34.0675,-118.3693
231216808,08/01/2023 12:00:00 AM,07/31/2023 12:00:00 AM,1800,12,77th Street,1251,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822 1402 1407 1100,38,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,7400    8TH                          AV,,33.9731,-118.3304
231316330,08/28/2023 12:00:00 AM,08/28/2023 12:00:00 AM,1700,13,Newton,1395,2,624,BATTERY - SIMPLE ASSAULT,0325 0344 0416 0447 1822 0417 1309 0945,62,F,H,202,LIQUOR STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,6900 S  SAN PEDRO                    ST,,33.977,-118.2696
230126700,12/18/2023 12:00:00 AM,12/18/2023 12:00:00 AM,1300,01,Central,0163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307 0329 1309,45,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,8TH,HILL,34.0445,-118.2558
231015558,11/06/2023 12:00:00 AM,11/05/2023 12:00:00 AM,2000,10,West Valley,1011,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,19000    CANTLAY                      ST,,34.2022,-118.547
230209751,04/27/2023 12:00:00 AM,04/27/2023 12:00:00 AM,2130,02,Rampart,0203,2,623,BATTERY POLICE (SIMPLE),1212 0356 0400 1816 0906 1822,0,X,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,700 N  MADISON                      AV,,34.0836,-118.2892
230126638,12/17/2023 12:00:00 AM,12/17/2023 12:00:00 AM,1155,01,Central,0154,1,210,ROBBERY,1218 0449 0416 0355 0400 0913 2004,21,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",303,BRASS KNUCKLES,IC,Invest Cont,210,,,,100 W  5TH                          ST,,34.0467,-118.2485
231215935,07/18/2023 12:00:00 AM,07/18/2023 12:00:00 AM,1320,12,77th Street,1283,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,9900    HAAS                         AV,,33.9465,-118.3168
230121193,10/04/2023 12:00:00 AM,10/04/2023 12:00:00 AM,2030,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,1822 0342 2004 0446 0416 0417,58,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,MAPLE,34.0421,-118.2469
231114087,10/02/2023 12:00:00 AM,10/02/2023 12:00:00 AM,0440,11,Northeast,1113,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2700    ROCK GLEN                    AV,,34.1402,-118.2229
232010647,05/24/2023 12:00:00 AM,05/24/2023 12:00:00 AM,0345,20,Olympic,2044,1,310,BURGLARY,0314 0306 0432 1822,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,900    IROLO                        ST,,34.0559,-118.3009
