DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
222113986,09/08/2022 12:00:00 AM,09/08/2022 12:00:00 AM,0041,21,Topanga,2177,1,310,BURGLARY,1267 0358,33,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,20500    HATTERAS                     ST,,34.1756,-118.579
222009171,04/29/2022 12:00:00 AM,04/15/2022 12:00:00 AM,0102,20,Olympic,2002,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1822,29,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,4900    MAPLEWOOD                    AV,,34.0803,-118.3091
221420237,12/10/2022 12:00:00 AM,08/07/2022 12:00:00 AM,0936,14,Pacific,1438,2,354,THEFT OF IDENTITY,,30,F,C,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3600    MIDVALE                      AV,,34.0204,-118.4139
221009415,05/19/2022 12:00:00 AM,05/19/2022 12:00:00 AM,1945,10,West Valley,1035,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0446 2000 0913 1814 2004 0400 0416 0444 1414,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,18300    VANOWEN                      ST,,34.1939,-118.5328
221417124,08/10/2022 12:00:00 AM,08/07/2022 12:00:00 AM,2000,14,Pacific,1454,1,330,BURGLARY FROM VEHICLE,1606 0344 1300,31,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,13400    MAXELLA                      AV,,33.9867,-118.4413
221312557,06/08/2022 12:00:00 AM,06/01/2022 12:00:00 AM,1210,13,Newton,1331,2,354,THEFT OF IDENTITY,0100 0922 0385 1822,23,F,B,101,STREET,,,IC,Invest Cont,354,,,,2600 S  GRAND                        AV,,34.0265,-118.2723
222114330,09/16/2022 12:00:00 AM,09/04/2022 12:00:00 AM,1940,21,Topanga,2142,2,354,THEFT OF IDENTITY,1822,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6100    GLIDE                        AV,,34.1812,-118.6384
220117557,08/04/2022 12:00:00 AM,08/03/2022 12:00:00 AM,2215,01,Central,0131,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
220310674,05/14/2022 12:00:00 AM,05/14/2022 12:00:00 AM,1755,03,Southwest,0379,1,761,BRANDISH WEAPON,0917 0910 0104 0312 0432 0443 1236 1822,42,M,H,401,MINI-MART,102,HAND GUN,IC,Invest Cont,761,930,,,3700 S  VERMONT                      AV,,34.0145,-118.2937
222001033,10/11/2022 12:00:00 AM,10/11/2022 12:00:00 AM,2355,20,Olympic,2069,1,220,ATTEMPTED ROBBERY,1822 0432 0337 1402,75,M,A,101,STREET,515,PHYSICAL PRESENCE,AA,Adult Arrest,220,,,,VERMONT                      AV,11TH,34.0508,-118.2916
