DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241706462,02/28/2024 12:00:00 AM,01/28/2024 12:00:00 AM,1815,17,Devonshire,1735,2,354,THEFT OF IDENTITY,0930 1822,23,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,17100    CHATSWORTH                   ST,,34.2684,-118.5149
241807344,03/11/2024 12:00:00 AM,03/08/2024 12:00:00 AM,2200,18,Southeast,1802,1,310,BURGLARY,1822 0344 1601 0329,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,,,,8900 S  MAIN                         ST,,33.9555,-118.2739
242106540,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,1315,21,Topanga,2134,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0344 0416 1813,22,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,7400    SHOUP                        AV,,34.2046,-118.6147
240611435,08/26/2024 12:00:00 AM,08/24/2024 12:00:00 AM,2248,06,Hollywood,0646,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0344,28,M,W,108,PARKING LOT,,,IC,Invest Cont,331,,,,6400 W  SUNSET                       BL,,34.0987,-118.3337
241910467,07/28/2024 12:00:00 AM,07/27/2024 12:00:00 AM,0930,19,Mission,1983,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8500    BURNET                       AV,,34.2246,-118.4633
240712871,11/25/2024 12:00:00 AM,11/24/2024 12:00:00 AM,1600,07,Wilshire,0724,1,352,PICKPOCKET,0344 1822,50,F,K,415,THE GROVE,,,IC,Invest Cont,352,,,,100    THE GROVE                    DR,,34.0736,-118.3563
240507197,03/24/2024 12:00:00 AM,03/24/2024 12:00:00 AM,2045,05,Harbor,0514,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0432 0448 0913 1243 1813 2000,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1600 N  WILMINGTON                   BL,,33.7897,-118.2787
242108521,04/28/2024 12:00:00 AM,04/28/2024 12:00:00 AM,1630,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,35,M,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,21700    VICTORY                      BL,,34.1877,-118.6015
242012738,10/23/2024 12:00:00 AM,09/23/2024 12:00:00 AM,0800,20,Olympic,2093,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900 S  OXFORD                       AV,,34.0399,-118.3079
241508349,03/30/2024 12:00:00 AM,03/27/2024 12:00:00 AM,0030,15,N Hollywood,1543,1,330,BURGLARY FROM VEHICLE,1822 1300 0385 0344,48,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5300    BELLINGHAM                   AV,,34.1667,-118.3993
