DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200807400,03/16/2020 12:00:00 AM,03/16/2020 12:00:00 AM,1650,08,West LA,0883,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2200    PONTIUS                      AV,,34.0399,-118.4385
200814338,09/21/2020 12:00:00 AM,09/19/2020 12:00:00 AM,2348,08,West LA,0847,2,901,VIOLATION OF RESTRAINING ORDER,2038,41,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901,,,,2300 S  BEVERLY GLEN                 BL,,34.0478,-118.4184
200211836,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1930,02,Rampart,0266,2,624,BATTERY - SIMPLE ASSAULT,0913 0603 0361 0416 0446 0359,30,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,800 S  BURLINGTON                   AV,,34.0519,-118.2755
201109225,05/10/2020 12:00:00 AM,05/09/2020 12:00:00 AM,1400,11,Northeast,1129,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913 1814 2004,74,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,200 S  AVENUE 66,,34.1131,-118.1801
201113822,09/20/2020 12:00:00 AM,09/04/2020 12:00:00 AM,1200,11,Northeast,1157,2,354,THEFT OF IDENTITY,0928 1822,37,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1300 N  SAN FERNANDO                 RD,,34.0974,-118.2367
201107105,03/09/2020 12:00:00 AM,03/09/2020 12:00:00 AM,0130,11,Northeast,1117,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 E  CAMPUS                       RD,,34.1261,-118.2142
200509110,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,2300,05,Harbor,0525,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402 1407 1419,0,X,X,121,YARD (RESIDENTIAL/BUSINESS),109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,753,998,,,300 N  AVALON                       BL,,33.7739,-118.2678
200305548,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,0845,03,Southwest,0319,2,624,BATTERY - SIMPLE ASSAULT,1202 0417 0361,60,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,00    ST JAMES PARK,,34.0317,-118.2769
201222437,10/12/2020 12:00:00 AM,10/01/2020 12:00:00 AM,1600,12,77th Street,1208,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600 W  VERNON                       AV,,34.0037,-118.284
201213142,05/19/2020 12:00:00 AM,05/19/2020 12:00:00 AM,1520,12,77th Street,1242,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394 1266 1822,56,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,6500    2ND                          AV,,33.9805,-118.3197
200613358,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1635,06,Hollywood,0645,1,761,BRANDISH WEAPON,0334 1822,19,M,O,301,GAS STATION,102,HAND GUN,IC,Invest Cont,761,,,,1700 N  HIGHLAND                     AV,,34.1006,-118.3417
201009713,06/05/2020 12:00:00 AM,06/05/2020 12:00:00 AM,0800,10,West Valley,1063,1,210,ROBBERY,1822 0344 0334 1420 0945,42,M,H,402,MARKET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210,,,,5500    RESEDA                       BL,,34.1703,-118.536
200711210,07/02/2020 12:00:00 AM,07/01/2020 12:00:00 AM,2200,07,Wilshire,0745,1,330,BURGLARY FROM VEHICLE,1300 1606 1601 0344,60,F,O,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,BURNSIDE                     AV,WILSHIRE                     BL,34.0623,-118.3494
200909657,05/13/2020 12:00:00 AM,05/13/2020 12:00:00 AM,0840,09,Van Nuys,0989,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1302 0344,45,F,W,101,STREET,,,IC,Invest Cont,420,,,,13500    MOORPARK                     ST,,34.1504,-118.427
200717193,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,1700,07,Wilshire,0769,1,310,BURGLARY,0344 1607,58,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,310,,,,1400    3RD                          AV,,34.046,-118.3201
201008167,04/18/2020 12:00:00 AM,04/18/2020 12:00:00 AM,1930,10,West Valley,1011,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913 0554 0445 0417 1420,55,M,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,745,,,,7500    WYSTONE                      AV,,34.207,-118.547
201112901,08/26/2020 12:00:00 AM,08/25/2020 12:00:00 AM,2215,11,Northeast,1171,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 2004,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,1100    SANBORN                      AV,,34.0925,-118.2804
200215006,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,1827,02,Rampart,0257,2,624,BATTERY - SIMPLE ASSAULT,1822 0448 1266,31,M,B,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,600    WITMER                       ST,,34.0549,-118.2659
200121387,11/22/2020 12:00:00 AM,11/19/2020 12:00:00 AM,2200,01,Central,0153,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,HILL                         ST,6TH                          ST,34.0473,-118.2531
201206734,02/08/2020 12:00:00 AM,02/05/2020 12:00:00 AM,2300,12,77th Street,1243,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,GAGE,HARVARD,33.9824,-118.3068
200407114,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,2145,04,Hollenbeck,0467,2,624,BATTERY - SIMPLE ASSAULT,0446 1810,83,F,H,701,HOSPITAL,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624,,,,100 S  FICKETT                      ST,,34.0426,-118.2073
200700701,05/26/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1800,07,Wilshire,0766,1,310,BURGLARY,0358 0344,51,M,W,203,OTHER BUSINESS,,,AO,Adult Other,310,998,,,4400 W  PICO                         BL,,34.0482,-118.3308
