DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200410815,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,1900,04,Hollenbeck,0469,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0416 0360,28,F,B,501,SINGLE FAMILY DWELLING,513,STUN GUN,IC,Invest Cont,230,,,,4TH                          ST,LORENA,34.034,-118.1969
200713569,09/06/2020 12:00:00 AM,09/06/2020 12:00:00 AM,1310,07,Wilshire,0763,1,210,ROBBERY,1402 1822 0344 0421 2004 0906,41,F,H,203,OTHER BUSINESS,113,SIMULATED GUN,AA,Adult Arrest,210,998,,,1400 S  FAIRFAX                      AV,,34.051,-118.3667
200107583,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,0830,01,Central,0143,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,0,M,W,702,OFFICE BUILDING/OFFICE,511,VERBAL THREAT,IC,Invest Cont,930,,,,200 W  5TH                          ST,,34.0488,-118.25
200713207,08/26/2020 12:00:00 AM,08/24/2020 12:00:00 AM,2230,07,Wilshire,0722,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1310 1407 1414 1609,21,M,O,101,STREET,,,IC,Invest Cont,740,998,,,3RD                          ST,LA CIENEGA,34.0734,-118.3765
200112686,06/01/2020 12:00:00 AM,05/29/2020 12:00:00 AM,1800,01,Central,0134,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1609 1420 0329,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,300 S  BROADWAY,,34.051,-118.248
200913215,08/07/2020 12:00:00 AM,08/07/2020 12:00:00 AM,0005,09,Van Nuys,0964,1,330,BURGLARY FROM VEHICLE,1300 0344 1607 0385 0358,65,M,W,101,STREET,,,IC,Invest Cont,330,,,,13900    LA MAIDA                     ST,,34.1585,-118.439
200616479,10/09/2020 12:00:00 AM,07/01/2020 12:00:00 AM,0600,06,Hollywood,0644,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0515 1810 1817,55,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,815,,,,1400 N  POINSETTIA                   PL,,34.0962,-118.3483
200514095,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,0001,05,Harbor,0524,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0311 0329 1236,0,X,X,109,PARK/PLAYGROUND,,,IC,Invest Cont,740,,,,1000 W  C                            ST,,33.772,-118.2749
201007548,03/25/2020 12:00:00 AM,02/26/2020 12:00:00 AM,0815,10,West Valley,1001,2,354,THEFT OF IDENTITY,0930 0922 1822,32,M,V,406,OTHER STORE,,,IC,Invest Cont,354,,,,19200    INGOMAR                      ST,,34.212,-118.5514
200315389,08/06/2020 12:00:00 AM,07/17/2020 12:00:00 AM,2100,03,Southwest,0362,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 0448 0408,35,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4600    AUGUST                       ST,,34.0168,-118.3492
201000945,10/29/2020 12:00:00 AM,10/29/2020 12:00:00 AM,2130,10,West Valley,1003,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0913 0554 0334 2002 0445 0602,50,F,H,501,SINGLE FAMILY DWELLING,207,OTHER KNIFE,AA,Adult Arrest,230,998,,,18600    ELKWOOD                      ST,,34.2129,-118.5393
200504757,01/18/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2200,05,Harbor,0531,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1500 W  261ST                        ST,,33.786,-118.3032
201205426,01/20/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1700,12,77th Street,1269,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1309 1822,0,X,X,108,PARKING LOT,,,IC,Invest Cont,440,,,,8000 S  CENTRAL                      AV,,33.9638,-118.2629
200514175,09/15/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2000,05,Harbor,0557,1,330,BURGLARY FROM VEHICLE,1300 0344 0352 1609 1307,68,F,O,101,STREET,,,IC,Invest Cont,330,,,,200 S  CABRILLO                     AV,,33.742,-118.2945
200909474,05/09/2020 12:00:00 AM,05/08/2020 12:00:00 AM,1930,09,Van Nuys,0985,1,251,SHOTS FIRED AT INHABITED DWELLING,1402 1100 1822,0,X,X,101,STREET,101,REVOLVER,AA,Adult Arrest,251,998,,,4300    VAN NUYS                     BL,,34.1491,-118.4491
201209166,03/13/2020 12:00:00 AM,03/13/2020 12:00:00 AM,2111,12,77th Street,1256,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0216 1822 1231,47,M,O,101,STREET,113,SIMULATED GUN,IC,Invest Cont,930,,,,500 W  75TH                         ST,,33.9717,-118.2827
201110604,06/19/2020 12:00:00 AM,06/19/2020 12:00:00 AM,1215,11,Northeast,1158,2,888,TRESPASSING,1501,34,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,3600    ROSEVIEW                     AV,,0,0
200121476,11/24/2020 12:00:00 AM,11/23/2020 12:00:00 AM,2000,01,Central,0166,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,44,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
200512584,08/03/2020 12:00:00 AM,08/02/2020 12:00:00 AM,2100,05,Harbor,0503,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1000    253RD                        ST,,33.7947,-118.2928
200108344,02/27/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1200,01,Central,0191,2,813,CHILD ANNOYING (17YRS & UNDER),1251 1259 0558 0531 0536,15,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,813,,,,1200 W  PICO                         BL,,34.0423,-118.2717
200216894,10/30/2020 12:00:00 AM,10/30/2020 12:00:00 AM,1345,02,Rampart,0249,1,310,BURGLARY,0329 0913 0443 2000,25,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,310,,,,1100 W  6TH                          ST,,34.0541,-118.2621
200907212,03/11/2020 12:00:00 AM,03/10/2020 12:00:00 AM,1730,09,Van Nuys,0935,1,320,"BURGLARY, ATTEMPTED",1501,56,M,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,320,,,,14400    SYLVAN                       ST,,34.1847,-118.4465
200710627,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,2200,07,Wilshire,0702,1,330,BURGLARY FROM VEHICLE,1822 1300,30,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,600 N  FULLER                       AV,,34.0819,-118.3498
200413342,10/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1700,04,Hollenbeck,0449,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000    DUNDAS                       ST,,34.0497,-118.1961
200312445,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1920,03,Southwest,0325,1,310,BURGLARY,1402 0325 0329 1601 1822 0352 0321,19,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,2700 S  VERMONT                      AV,,34.0304,-118.2915
200406776,03/11/2020 12:00:00 AM,03/10/2020 12:00:00 AM,2030,04,Hollenbeck,0429,1,330,BURGLARY FROM VEHICLE,1302 0344 1307,37,M,W,101,STREET,,,IC,Invest Cont,330,,,,5400    HUNTINGTON                   DR,,34.0865,-118.1647
200814163,09/16/2020 12:00:00 AM,09/15/2020 12:00:00 AM,2100,08,West LA,0832,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 2004,39,M,W,102,SIDEWALK,308,STICK,IC,Invest Cont,624,,,,SAN VICENTE,KIOWA,34.0525,-118.4607
200409548,06/01/2020 12:00:00 AM,05/28/2020 12:00:00 AM,1520,04,Hollenbeck,0439,1,330,BURGLARY FROM VEHICLE,1302 0344,22,M,B,103,ALLEY,,,IC,Invest Cont,330,,,,1600 E  CAMPUS                       RD,,34.0636,-118.1718
200414572,11/03/2020 12:00:00 AM,11/03/2020 12:00:00 AM,1140,04,Hollenbeck,0422,2,900,VIOLATION OF COURT ORDER,2038,17,M,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,900,,,,2700    MANITOU                      AV,,34.0719,-118.2144
200615154,09/09/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1700,06,Hollywood,0648,2,354,THEFT OF IDENTITY,0913 1813,35,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5400    HAROLD                       WY,,34.0993,-118.3092
200704982,01/21/2020 12:00:00 AM,01/21/2020 12:00:00 AM,1800,07,Wilshire,0775,2,624,BATTERY - SIMPLE ASSAULT,1810 0444 0448,38,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1800 S  LONGWOOD                     AV,,34.0428,-118.3443
200408242,04/27/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1100,04,Hollenbeck,0479,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3500    ATLANTIC                     ST,,34.0236,-118.2005
200705765,02/06/2020 12:00:00 AM,02/04/2020 12:00:00 AM,2300,07,Wilshire,0755,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,23,F,H,406,OTHER STORE,,,IC,Invest Cont,331,,,,1200 S  RIDGELEY                     DR,,34.0536,-118.3539
201107519,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,0855,11,Northeast,1177,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0,X,X,301,GAS STATION,,,IC,Invest Cont,440,,,,2600 N  FIGUEROA                     ST,,34.0884,-118.2258
201206039,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1200,12,77th Street,1258,2,900,VIOLATION OF COURT ORDER,2000 1813 0913,28,M,B,726,POLICE FACILITY,,,AO,Adult Other,900,,,,7600 S  BROADWAY,,33.9708,-118.2783
200913327,08/10/2020 12:00:00 AM,08/07/2020 12:00:00 AM,0300,09,Van Nuys,0919,1,441,THEFT PLAIN - ATTEMPT,1202 1501,65,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,441,,,,13400    VANOWEN                      ST,,34.1939,-118.4243
200305439,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,0810,03,Southwest,0374,2,901,VIOLATION OF RESTRAINING ORDER,1802 1906 2038,50,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,3800    DUBLIN                       AV,,34.0173,-118.3224
