DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201305254,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,1300,13,Newton,1317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600    HOOPER                       AV,,34.0236,-118.2447
200409354,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,1529,04,Hollenbeck,0465,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 1243 0444 0429,36,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4TH                          ST,FRESNO,34.0359,-118.2013
200110076,04/05/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1454,01,Central,0111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1414 2032 0344 1402,57,M,A,710,OTHER PREMISE,,,IC,Invest Cont,440,998,,,700 N  BROADWAY,,34.0604,-118.2393
200617521,11/02/2020 12:00:00 AM,11/02/2020 12:00:00 AM,0600,06,Hollywood,0663,1,310,BURGLARY,1822 1601 1606 0344,25,M,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,1100 N  ORANGE                       DR,,34.0907,-118.3416
201309715,04/21/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1630,13,Newton,1361,2,624,BATTERY - SIMPLE ASSAULT,0602 0555 0446 0447 0416 1243,28,F,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,200 W  47TH                         ST,,34.001,-118.2762
201226060,12/09/2020 12:00:00 AM,12/06/2020 12:00:00 AM,1730,12,77th Street,1273,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 1822 0385 0329 0344,47,M,B,104,DRIVEWAY,,,IC,Invest Cont,331,,,,8900 S  HOBART                       BL,,33.9545,-118.3079
201014335,10/22/2020 12:00:00 AM,10/22/2020 12:00:00 AM,1520,10,West Valley,1018,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913 1814 1309 2033 0400 0446,41,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,16000    VALERIO                      ST,,34.2048,-118.4815
200909005,04/27/2020 12:00:00 AM,04/27/2020 12:00:00 AM,0100,09,Van Nuys,0919,1,330,BURGLARY FROM VEHICLE,0344 1822 0321 1601,23,F,W,123,PARKING UNDERGROUND/BUILDING,,,AA,Adult Arrest,330,,,,13400    VANOWEN                      ST,,34.1939,-118.4243
201114013,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,2310,11,Northeast,1123,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,37,M,W,101,STREET,,,IC,Invest Cont,740,,,,3800    REVERE                       AV,,34.1223,-118.2608
200210518,05/22/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2100,02,Rampart,0261,1,330,BURGLARY FROM VEHICLE,0344 1307 1609 0329,19,X,X,108,PARKING LOT,,,IC,Invest Cont,330,,,,2500    JAMES M WOOD                 BL,,34.0567,-118.2815
201009309,05/24/2020 12:00:00 AM,05/22/2020 12:00:00 AM,1450,10,West Valley,1083,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1420 0202 0206 0216,32,M,W,102,SIDEWALK,,,AO,Adult Other,341,,,,4800    BREWSTER                     DR,,34.1589,-118.5411
201223216,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,0200,12,77th Street,1267,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8400 S  FIGUEROA                     ST,,33.9627,-118.2827
200510792,06/19/2020 12:00:00 AM,06/19/2020 12:00:00 AM,1145,05,Harbor,0507,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1309 0302 2000 1813 0913 0334 0443,41,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,236,,,,1300 W  225TH                        ST,,33.8223,-118.2991
