DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210808358,04/17/2021 12:00:00 AM,04/01/2021 12:00:00 AM,0750,08,West LA,0855,2,354,THEFT OF IDENTITY,0100 0922,45,F,O,605,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354,,,,1600    MALCOLM                      AV,,34.052,-118.4371
211407658,03/05/2021 12:00:00 AM,03/04/2021 12:00:00 AM,0001,14,Pacific,1406,1,350,"THEFT, PERSON",0345 1822 1000 1008 0910,26,M,W,124,BUS STOP,,,IC,Invest Cont,350,,,,VENICE                       BL,MOTOR                        AV,34.0205,-118.404
210121562,12/04/2021 12:00:00 AM,12/04/2021 12:00:00 AM,1220,01,Central,0163,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1218 2000 1814 0416,53,F,B,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,200 W  7TH                          ST,,34.0445,-118.2523
210915927,10/30/2021 12:00:00 AM,10/30/2021 12:00:00 AM,0830,09,Van Nuys,0989,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WOODBRIDGE,FULTON,34.1476,-118.4225
211609205,06/30/2021 12:00:00 AM,06/30/2021 12:00:00 AM,1000,16,Foothill,1681,2,662,"BUNCO, GRAND THEFT",0800 0121 0701,64,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,12400    ALLEGHENY                    ST,,34.2302,-118.4026
211610186,08/03/2021 12:00:00 AM,07/23/2021 12:00:00 AM,2030,16,Foothill,1622,1,210,ROBBERY,0416 0302,22,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,EL DORADO                    AV,VAN NUYS                     BL,34.2653,-118.4243
211505632,02/13/2021 12:00:00 AM,02/13/2021 12:00:00 AM,0945,15,N Hollywood,1553,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 0329,66,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740,,,,VINELAND                     AV,OTSEGO                       ST,34.156,-118.3874
210211433,07/03/2021 12:00:00 AM,07/03/2021 12:00:00 AM,1020,02,Rampart,0251,2,624,BATTERY - SIMPLE ASSAULT,0344 0416 0342 0432 0329 0913 1817 1210 0446,49,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2700    WILSHIRE                     BL,,34.0609,-118.2823
211108545,05/13/2021 12:00:00 AM,05/09/2021 12:00:00 AM,0900,11,Northeast,1183,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,51,F,W,101,STREET,,,IC,Invest Cont,440,,,,SCOTT,GLENDALE                     BL,34.0819,-118.26
210609732,05/14/2021 12:00:00 AM,05/11/2021 12:00:00 AM,1340,06,Hollywood,0643,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394 1501,49,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,7300    HOLLYWOOD                    BL,,34.1016,-118.3497
211711860,08/08/2021 12:00:00 AM,08/08/2021 12:00:00 AM,0500,17,Devonshire,1795,1,330,BURGLARY FROM VEHICLE,1501 0344,24,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,17600    RAYMER                       ST,,34.2264,-118.5178
211904906,01/25/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2100,19,Mission,1974,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VAN NUYS                     BL,OSBORNE                      ST,34.2331,-118.4502
210810286,06/10/2021 12:00:00 AM,06/04/2021 12:00:00 AM,1200,08,West LA,0881,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,67,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,11700 W  PICO                         BL,,34.0341,-118.4525
210212174,07/18/2021 12:00:00 AM,07/18/2021 12:00:00 AM,1300,02,Rampart,0217,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,37,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,1900    SANTA YNEZ                   ST,,34.0748,-118.2633
211809858,05/03/2021 12:00:00 AM,05/02/2021 12:00:00 AM,1800,18,Southeast,1861,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 W  115TH                        ST,,33.9298,-118.2844
211608728,06/15/2021 12:00:00 AM,06/10/2021 12:00:00 AM,1200,16,Foothill,1665,1,310,BURGLARY,0344 0321 1606,33,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,11000    FENWAY                       ST,,34.2478,-118.373
211007343,04/23/2021 12:00:00 AM,04/22/2021 12:00:00 AM,2300,10,West Valley,1047,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,17200    BURBANK                      BL,,34.1722,-118.5088
211319789,12/01/2021 12:00:00 AM,11/25/2021 12:00:00 AM,2100,13,Newton,1313,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0701 0100 0344,0,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341,,,,1900 S  SAN PEDRO                    ST,,34.0273,-118.2577
210513593,09/10/2021 12:00:00 AM,09/09/2021 12:00:00 AM,1230,05,Harbor,0585,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,57,M,O,402,MARKET,,,IC,Invest Cont,341,,,,1800 S  PACIFIC                      AV,,33.7243,-118.2963
211810565,05/17/2021 12:00:00 AM,05/15/2021 12:00:00 AM,0007,18,Southeast,1806,1,330,BURGLARY FROM VEHICLE,1300 1822 0344,56,F,B,101,STREET,,,IC,Invest Cont,330,,,,800 E  92ND                         ST,,33.9529,-118.2608
210613185,07/24/2021 12:00:00 AM,07/22/2021 12:00:00 AM,1015,06,Hollywood,0639,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 2004 1822,26,M,W,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",511,VERBAL THREAT,IC,Invest Cont,930,,,,5400    HOLLYWOOD                    BL,,34.1036,-118.3049
210409976,06/22/2021 12:00:00 AM,06/22/2021 12:00:00 AM,2250,04,Hollenbeck,0453,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0910 0302 0334 0906 1270 1822 0371,22,M,H,963,MTA - GOLD LINE - MARIACHI PLAZA,102,HAND GUN,AA,Adult Arrest,230,,,,1ST,BAELY,34.0517,-118.2178
211107572,04/13/2021 12:00:00 AM,04/13/2021 12:00:00 AM,1800,11,Northeast,1177,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600 W  AVENUE 28,,34.087,-118.2236
212113467,09/03/2021 12:00:00 AM,09/03/2021 12:00:00 AM,1620,21,Topanga,2137,2,624,BATTERY - SIMPLE ASSAULT,0561 0444 1402,35,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,624,998,,,7200    KELVIN                       AV,,34.2011,-118.5863
211714302,10/26/2021 12:00:00 AM,10/20/2021 12:00:00 AM,0630,17,Devonshire,1791,1,310,BURGLARY,0344 1607,0,X,X,222,LAUNDROMAT,,,IC,Invest Cont,310,,,,8300    WINNETKA                     AV,,34.2244,-118.5804
210607328,03/19/2021 12:00:00 AM,03/18/2021 12:00:00 AM,2300,06,Hollywood,0642,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1501,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1300 N  CURSON                       AV,,34.0944,-118.355
210213433,08/18/2021 12:00:00 AM,08/18/2021 12:00:00 AM,1200,02,Rampart,0269,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1817 2002 0447,37,F,W,102,SIDEWALK,212,BOTTLE,IC,Invest Cont,230,,,,1200 W  8TH                          ST,,34.0496,-118.2677
210319303,11/24/2021 12:00:00 AM,11/24/2021 12:00:00 AM,0135,03,Southwest,0363,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 0419 0305 0408 0369 1309 0432 1317,38,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4000    WEST                         BL,,34.0128,-118.3447
211011110,08/09/2021 12:00:00 AM,08/09/2021 12:00:00 AM,2315,10,West Valley,1023,2,438,RECKLESS DRIVING,1822 1309,0,M,O,101,STREET,,,IC,Invest Cont,438,,,,SHERMAN,TAMPA,34.2011,-118.5535
210213923,08/28/2021 12:00:00 AM,08/27/2021 12:00:00 AM,1700,02,Rampart,0237,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 0329 1210,51,M,H,101,STREET,,,IC,Invest Cont,331,,,,LOMA                         ST,BEVERLY                      BL,34.0634,-118.2631
210616760,10/01/2021 12:00:00 AM,10/01/2021 12:00:00 AM,1740,06,Hollywood,0679,1,350,"THEFT, PERSON",1402 1300 1822 0344,76,F,W,101,STREET,,,IC,Invest Cont,350,998,,,1000 N  KINGSLEY                     DR,,34.0885,-118.3033
211400786,06/15/2021 12:00:00 AM,06/15/2021 12:00:00 AM,1657,14,Pacific,1412,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,740,998,,,700    OCEAN FRONT                  WK,,33.9933,-118.4765
211216607,07/27/2021 12:00:00 AM,07/27/2021 12:00:00 AM,0230,12,77th Street,1267,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0913 0416 0408 2034 1215,20,F,B,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,8300 S  FIGUEROA                     ST,,33.9634,-118.2827
210620840,12/27/2021 12:00:00 AM,12/07/2021 12:00:00 AM,0951,06,Hollywood,0643,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,24,F,W,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,740,,,,7200    HOLLYWOOD                    BL,,34.1016,-118.3471
212015690,10/13/2021 12:00:00 AM,10/13/2021 12:00:00 AM,2115,20,Olympic,2062,1,210,ROBBERY,1822 0305 1202,69,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,OLYMPIC,10TH                         ST,34.0526,-118.3129
211309334,05/06/2021 12:00:00 AM,05/05/2021 12:00:00 AM,1130,13,Newton,1321,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WASHINGTON                   BL,MAIN                         ST,34.031,-118.2647
211313605,07/31/2021 12:00:00 AM,07/31/2021 12:00:00 AM,1400,13,Newton,1354,2,666,"BUNCO, ATTEMPT",0432,43,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,666,,,,100 E  VERNON                       AV,,34.0083,-118.2719
210705890,02/20/2021 12:00:00 AM,02/20/2021 12:00:00 AM,1330,07,Wilshire,0774,2,940,EXTORTION,1822 1915 0500,33,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,5000    PICKFORD                     ST,,34.0427,-118.3478
211605916,03/09/2021 12:00:00 AM,03/09/2021 12:00:00 AM,0045,16,Foothill,1608,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 1822 1601 0419 0416 2004,34,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,ORCAS,FOOTHILL,34.2745,-118.3683
211307747,03/27/2021 12:00:00 AM,03/26/2021 12:00:00 AM,2134,13,Newton,1343,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,O,752,FIRE STATION,,,IC,Invest Cont,740,,,,3400 S  CENTRAL                      AV,,34.0114,-118.2624
211819638,11/07/2021 12:00:00 AM,11/06/2021 12:00:00 AM,1500,18,Southeast,1844,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,63,M,W,101,STREET,,,IC,Invest Cont,341,,,,11100 S  CENTRAL                      AV,,33.9345,-118.2623
211012635,09/23/2021 12:00:00 AM,09/15/2021 12:00:00 AM,1200,10,West Valley,1091,2,354,THEFT OF IDENTITY,1822 0930 0927,44,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,19200    ALLENDALE                    DR,,34.1377,-118.5508
210716346,12/03/2021 12:00:00 AM,11/30/2021 12:00:00 AM,0900,07,Wilshire,0745,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,36,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,5500    WILSHIRE                     BL,,34.0623,-118.3483
211010116,07/13/2021 12:00:00 AM,06/30/2021 12:00:00 AM,1300,10,West Valley,1015,2,354,THEFT OF IDENTITY,1822 0930,46,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7400    ETIWANDA                     AV,,34.2048,-118.5316
210517062,12/12/2021 12:00:00 AM,12/12/2021 12:00:00 AM,1540,05,Harbor,0519,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,14,M,H,101,STREET,,,IC,Invest Cont,440,,,,PACIFIC COAST                HY,SANFORD,33.7909,-118.251
211317112,10/07/2021 12:00:00 AM,10/07/2021 12:00:00 AM,0830,13,Newton,1341,2,624,BATTERY - SIMPLE ASSAULT,0429,38,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,32ND                         ST,MAIN                         ST,34.0155,-118.2772
210308426,04/06/2021 12:00:00 AM,04/05/2021 12:00:00 AM,2200,03,Southwest,0313,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2500    CRENSHAW                     BL,,34.0335,-118.3345
211911281,07/24/2021 12:00:00 AM,07/14/2021 12:00:00 AM,2000,19,Mission,1908,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,49,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,13400    HERRON                       ST,,34.3166,-118.4248
