DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
220401024,08/18/2022 12:00:00 AM,08/18/2022 12:00:00 AM,0920,04,Hollenbeck,0461,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0430 1407 0371 0906,32,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,998,,,100 S  MYERS                        ST,,34.0478,-118.2288
220506725,03/13/2022 12:00:00 AM,03/10/2022 12:00:00 AM,1800,05,Harbor,0589,1,330,BURGLARY FROM VEHICLE,1300 0344,57,F,W,101,STREET,,,IC,Invest Cont,330,,,,3800    STEPHEN M WHITE              DR,,33.7096,-118.2856
220713807,09/06/2022 12:00:00 AM,08/31/2022 12:00:00 AM,1230,07,Wilshire,0747,2,888,TRESPASSING,0913,32,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,1000 S  HUDSON                       AV,,34.057,-118.3349
221705773,02/19/2022 12:00:00 AM,02/19/2022 12:00:00 AM,1800,17,Devonshire,1762,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 2004,41,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,740,,,,20600    LASSEN                       ST,,34.25,-118.582
220605295,01/05/2022 12:00:00 AM,01/04/2022 12:00:00 AM,1900,06,Hollywood,0638,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1501 1300,29,F,W,101,STREET,,,IC,Invest Cont,740,,,,1700    TAFT                         AV,,34.1017,-118.3147
222018203,12/09/2022 12:00:00 AM,12/09/2022 12:00:00 AM,1235,20,Olympic,2099,2,946,OTHER MISCELLANEOUS CRIME,0907 1402,0,X,X,101,STREET,,,AA,Adult Arrest,946,998,,,20TH                         ST,MAGNOLIA                     AV,34.0382,-118.2864
221500854,06/10/2022 12:00:00 AM,06/09/2022 12:00:00 AM,1500,15,N Hollywood,1525,1,310,BURGLARY,1402 0344 1822 0321,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,11700    VICTORY                      BL,,34.1867,-118.3878
220311261,05/25/2022 12:00:00 AM,05/23/2022 12:00:00 AM,0300,03,Southwest,0321,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,21,X,X,118,CONSTRUCTION SITE,,,IC,Invest Cont,740,,,,5700 W  JEFFERSON                    BL,,34.0259,-118.3679
222111923,07/20/2022 12:00:00 AM,06/23/2022 12:00:00 AM,0001,21,Topanga,2147,2,354,THEFT OF IDENTITY,0377,63,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6900    INDEPENDENCE                 AV,,34.1956,-118.5906
221508668,04/24/2022 12:00:00 AM,04/23/2022 12:00:00 AM,2250,15,N Hollywood,1522,1,210,ROBBERY,0302 0337 0344 0334 1822 1300 1310 0316,18,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,13200    VANOWEN                      ST,,34.1939,-118.4206
220611291,06/05/2022 12:00:00 AM,06/04/2022 12:00:00 AM,0340,06,Hollywood,0678,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416 0447,35,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,900 N  SERRANO                      AV,,34.0862,-118.3064
220914545,10/02/2022 12:00:00 AM,10/02/2022 12:00:00 AM,1955,09,Van Nuys,0926,1,310,BURGLARY,0358 1609 1414 0321,58,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,13900    GILMORE                      ST,,34.1876,-118.4356
222104923,01/26/2022 12:00:00 AM,01/26/2022 12:00:00 AM,0210,21,Topanga,2125,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0400 1218,38,F,B,108,PARKING LOT,204,FOLDING KNIFE,IC,Invest Cont,230,,,,7700    ALABAMA                      AV,,34.2101,-118.5994
221507398,03/23/2022 12:00:00 AM,03/11/2022 12:00:00 AM,1645,15,N Hollywood,1555,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4600    VINELAND                     AV,,34.1543,-118.3706
220606689,02/27/2022 12:00:00 AM,02/08/2022 12:00:00 AM,2330,06,Hollywood,0645,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2000 0400 0416 0344 0913 1813,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,341,626,,,7000    HAWTHORN                     AV,,34.1004,-118.3414
221508931,04/29/2022 12:00:00 AM,04/29/2022 12:00:00 AM,1420,15,N Hollywood,1591,1,320,"BURGLARY, ATTEMPTED",1609,51,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,3500    MOUND VIEW                   AV,,34.1351,-118.3942
222108908,05/05/2022 12:00:00 AM,04/21/2022 12:00:00 AM,2157,21,Topanga,2103,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,35,M,X,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AA,Adult Arrest,442,,,,8300    TOPANGA CANYON               BL,,34.2259,-118.6126
220505350,02/04/2022 12:00:00 AM,02/04/2022 12:00:00 AM,1440,05,Harbor,0509,1,310,BURGLARY,0344 1606 0352 0377,49,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1400    251ST                        ST,,33.7968,-118.3012
221814847,07/27/2022 12:00:00 AM,07/07/2022 12:00:00 AM,1200,18,Southeast,1831,2,649,DOCUMENT FORGERY / STOLEN FELONY,0924 1202 1822,60,M,B,101,STREET,,,IC,Invest Cont,649,,,,12600 S  FIGUEROA                     ST,,33.9188,-118.283
221100738,05/30/2022 12:00:00 AM,05/29/2022 12:00:00 AM,2045,11,Northeast,1134,1,310,BURGLARY,1402 0907 2004 0344 1601,38,M,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,998,,,3100    VERDUGO                      RD,,34.1073,-118.2376
221104648,01/18/2022 12:00:00 AM,01/18/2022 12:00:00 AM,0947,11,Northeast,1135,2,624,BATTERY - SIMPLE ASSAULT,0329 0416 0429 0448,50,M,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,745,,,3800    TOLAND                       WY,,34.1181,-118.2299
