DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230405995,03/02/2023 12:00:00 AM,03/02/2023 12:00:00 AM,1435,04,Hollenbeck,0415,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0558 0334 0416 0408,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,2400    HANCOCK                      ST,,34.0737,-118.2091
230110195,04/08/2023 12:00:00 AM,04/08/2023 12:00:00 AM,2300,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0416,20,F,B,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 W  6TH                          ST,,34.046,-118.251
230313253,07/07/2023 12:00:00 AM,07/04/2023 12:00:00 AM,1700,03,Southwest,0362,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0329 0416 0445 0447 0913 1813 1814 2000,41,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4600    COLISEUM                     ST,,34.0169,-118.3472
231419844,11/05/2023 12:00:00 AM,11/05/2023 12:00:00 AM,1035,14,Pacific,1467,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,36,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,5800 W  74TH                         ST,,33.9731,-118.3821
231714103,08/21/2023 12:00:00 AM,08/21/2023 12:00:00 AM,2120,17,Devonshire,1799,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1202 1300 1309 0416 1822 0342 0329 1402,60,M,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,WOODLEY                      ST,PARTHENIA,34.2284,-118.4851
230314011,07/24/2023 12:00:00 AM,07/23/2023 12:00:00 AM,1500,03,Southwest,0393,2,624,BATTERY - SIMPLE ASSAULT,0444 1822 1228,53,F,B,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4100    CRENSHAW                     BL,,34.0102,-118.3351
231107152,03/26/2023 12:00:00 AM,03/24/2023 12:00:00 AM,0930,11,Northeast,1102,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,70,M,F,203,OTHER BUSINESS,,,AA,Adult Arrest,740,,,,3200    LOS FELIZ                    BL,,34.1232,-118.2688
230611664,06/25/2023 12:00:00 AM,06/25/2023 12:00:00 AM,1125,06,Hollywood,0668,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0344 0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,5500 W  SUNSET                       BL,,34.0981,-118.3092
230505336,02/05/2023 12:00:00 AM,02/05/2023 12:00:00 AM,1930,05,Harbor,0524,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1822 1814 0340 0319 0443 0432 0408,34,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300    HAWAIIAN                     AV,,33.772,-118.2762
230411289,08/12/2023 12:00:00 AM,08/12/2023 12:00:00 AM,0725,04,Hollenbeck,0453,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429 1266 2002 1822,27,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,,,,1700 E  CESAR E CHAVEZ               AV,,34.0512,-118.2176
