DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
220122271,10/11/2022 12:00:00 AM,10/11/2022 12:00:00 AM,0305,01,Central,0145,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 2038 0448 0361 1218 2004,61,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 E  5TH                          ST,,34.0471,-118.2474
222004917,01/23/2022 12:00:00 AM,01/23/2022 12:00:00 AM,2150,20,Olympic,2034,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913,57,M,W,108,PARKING LOT,511,VERBAL THREAT,AO,Adult Other,930,,,,700 S  NORMANDIE                    AV,,34.0596,-118.3022
220416560,12/21/2022 12:00:00 AM,12/19/2022 12:00:00 AM,2100,04,Hollenbeck,0406,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,49,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331,,,,4000    VIA MARISOL,,34.0935,-118.1856
220126861,12/22/2022 12:00:00 AM,12/21/2022 12:00:00 AM,1830,01,Central,0182,2,888,TRESPASSING,1822 1501 1402,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,998,,,1200 S  HOPE                         ST,,34.0408,-118.2644
221209065,03/31/2022 12:00:00 AM,03/03/2022 12:00:00 AM,0830,12,77th Street,1241,2,354,THEFT OF IDENTITY,0100 1822,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6100 S  VICTORIA                     AV,,33.9846,-118.3323
222012582,07/15/2022 12:00:00 AM,07/08/2022 12:00:00 AM,0001,20,Olympic,2004,1,350,"THEFT, PERSON",1822 0344 2034,56,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,350,,,,500 N  HOBART                       BL,,34.0799,-118.3058
220614847,08/19/2022 12:00:00 AM,08/19/2022 12:00:00 AM,0153,06,Hollywood,0669,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200 N  HOBART                       BL,,34.0933,-118.3046
220811676,06/02/2022 12:00:00 AM,05/25/2022 12:00:00 AM,1548,08,West LA,0839,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 1822,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,343,,,,10200    SANTA MONICA                 BL,,34.0611,-118.4184
221407831,03/18/2022 12:00:00 AM,03/02/2022 12:00:00 AM,1805,14,Pacific,1424,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,33,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,11900    LAWLER                       ST,,34.0138,-118.4332
221817946,09/25/2022 12:00:00 AM,09/25/2022 12:00:00 AM,1520,18,Southeast,1823,1,220,ATTEMPTED ROBBERY,1822 1300 0305 0336 2024,46,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,SAN PEDRO,CENTURY,33.9456,-118.2695
241705430,02/02/2024 12:00:00 AM,10/02/2022 12:00:00 AM,1405,17,Devonshire,1735,2,354,THEFT OF IDENTITY,1822 0930,48,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17000    LOS ALIMOS                   ST,,34.266,-118.5023
220109428,04/02/2022 12:00:00 AM,04/01/2022 12:00:00 AM,2000,01,Central,0118,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 N  BROADWAY,,34.064,-118.2375
