DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201207105,02/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1500,12,77th Street,1266,2,920,KIDNAPPING - GRAND ATTEMPT,1258 1251 1309 1822,14,F,B,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,920,,,,500 W  81ST                         ST,,33.9656,-118.2827
201222439,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1910,12,77th Street,1269,1,210,ROBBERY,0207 0216 0302 0312 0334 0337 0344 0429 0444 1822,58,M,H,203,OTHER BUSINESS,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,8400 S  SAN PEDRO                    ST,,33.9624,-118.2695
201309763,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1715,13,Newton,1393,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 0329,34,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,740,,,,70TH                         ST,BROADWAY,33.9765,-118.2783
200710271,06/10/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1930,07,Wilshire,0713,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0447 0416 1822,28,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,STANLEY                      AV,BEVERLY                      BL,34.0761,-118.3563
200406917,03/14/2020 12:00:00 AM,03/12/2020 12:00:00 AM,2200,04,Hollenbeck,0461,1,330,BURGLARY FROM VEHICLE,1302 0344,23,M,H,101,STREET,,,IC,Invest Cont,330,,,,1ST,PECAN                        ST,34.045,-118.2256
200215471,09/26/2020 12:00:00 AM,09/26/2020 12:00:00 AM,0010,02,Rampart,0236,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0408 1814 0421 0416 0913,27,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,1800    MIRAMAR                      ST,,34.063,-118.2678
200807304,03/13/2020 12:00:00 AM,03/13/2020 12:00:00 AM,1345,08,West LA,0852,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SANTA MONICA                 BL,GRANVILLE,34.0433,-118.4581
200715309,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,1655,07,Wilshire,0711,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,8400    BEVERLY                      BL,,34.0782,-118.3695
201213208,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2130,12,77th Street,1256,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,,,,7200 S  BROADWAY,,33.9727,-118.285
201005883,02/12/2020 12:00:00 AM,02/07/2020 12:00:00 AM,2130,10,West Valley,1063,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344,25,M,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,5600    YOLANDA                      AV,,34.1724,-118.5407
200707857,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,2152,07,Wilshire,0705,2,946,OTHER MISCELLANEOUS CRIME,1212 1402 0448,19,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,946,998,,,7200    ROSEWOOD                     AV,,34.0846,-118.3464
201114699,10/16/2020 12:00:00 AM,10/15/2020 12:00:00 AM,1920,11,Northeast,1158,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 0448 0444,47,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 W  AVENUE 37,,34.0901,-118.2126
200913915,08/24/2020 12:00:00 AM,08/23/2020 12:00:00 AM,1410,09,Van Nuys,0941,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1606 0344,76,F,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,5700 N  SEPULVEDA                    BL,,34.174,-118.4661
200716960,12/11/2020 12:00:00 AM,12/10/2020 12:00:00 AM,1800,07,Wilshire,0747,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1100 S  CITRUS                       AV,,34.0533,-118.3426
201204736,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,0800,12,77th Street,1241,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0416 0446 0444,26,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,3100    HYDE PARK                    BL,,33.9807,-118.3265
200414677,11/07/2020 12:00:00 AM,11/06/2020 12:00:00 AM,2345,04,Hollenbeck,0466,1,761,BRANDISH WEAPON,1822 0421,51,M,H,203,OTHER BUSINESS,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,761,930,,,100 N  SOTO                         ST,,34.0438,-118.2098
