DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240306331,02/13/2024 12:00:00 AM,02/12/2024 12:00:00 AM,1430,03,Southwest,0363,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 1202 0361 0603,72,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4000    BUCKINGHAM                   RD,,34.0148,-118.3417
240109852,04/02/2024 12:00:00 AM,04/02/2024 12:00:00 AM,1305,01,Central,0161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,20,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
241109785,08/05/2024 12:00:00 AM,08/01/2024 12:00:00 AM,1900,11,Northeast,1181,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,39,M,O,101,STREET,,,IC,Invest Cont,330,,,,2700 W  SUNSET                       BL,,34.0808,-118.2655
240606565,02/26/2024 12:00:00 AM,02/25/2024 12:00:00 AM,1445,06,Hollywood,0645,1,330,BURGLARY FROM VEHICLE,1501 1822 0344 1300,42,F,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,7000    FRANKLIN                     AV,,34.1041,-118.3417
241010123,07/24/2024 12:00:00 AM,07/22/2024 12:00:00 AM,1200,10,West Valley,1008,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,6600    HAYVENHURST                  AV,,34.1903,-118.4924
240212234,07/23/2024 12:00:00 AM,07/22/2024 12:00:00 AM,1630,02,Rampart,0235,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,COURT                        ST,ALVARADO                     ST,34.0697,-118.2697
242113680,12/09/2024 12:00:00 AM,12/09/2024 12:00:00 AM,1530,21,Topanga,2189,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0378,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,20800    VENTURA                      BL,,34.1665,-118.5859
240312622,07/26/2024 12:00:00 AM,07/25/2024 12:00:00 AM,1530,03,Southwest,0355,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900 W  37TH                         PL,,34.0203,-118.3138
241410267,06/09/2024 12:00:00 AM,06/08/2024 12:00:00 AM,0500,14,Pacific,1437,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,24,M,P,108,PARKING LOT,,,IC,Invest Cont,331,,,,3700 S  SEPULVEDA                    BL,,34.015,-118.4188
242008466,04/22/2024 12:00:00 AM,04/21/2024 12:00:00 AM,2200,20,Olympic,2038,1,330,BURGLARY FROM VEHICLE,0344 0394 1307 1609 2032 1822,35,M,F,101,STREET,,,IC,Invest Cont,330,,,,3100    WILSHIRE                     BL,,34.0618,-118.2891
240404183,01/07/2024 12:00:00 AM,01/03/2024 12:00:00 AM,1100,04,Hollenbeck,0473,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,62,M,H,402,MARKET,,,IC,Invest Cont,440,,,,400 S  SOTO                         ST,,34.0376,-118.2166
241907627,04/08/2024 12:00:00 AM,04/08/2024 12:00:00 AM,1300,19,Mission,1966,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,14200    TERRA BELLA                  ST,,34.2385,-118.4455
240909966,06/24/2024 12:00:00 AM,06/20/2024 12:00:00 AM,1250,09,Van Nuys,0915,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,76,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,440,,,,7000    VAN NUYS                     BL,,34.1976,-118.4443
241212906,06/26/2024 12:00:00 AM,06/26/2024 12:00:00 AM,0800,12,77th Street,1267,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400 W  84TH                         ST,,33.9632,-118.2814
240107401,02/17/2024 12:00:00 AM,02/17/2024 12:00:00 AM,1850,01,Central,0164,1,310,BURGLARY,1822 1501 0344,0,X,X,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,310,,,,600 S  SPRING                       ST,,34.046,-118.251
241210355,04/19/2024 12:00:00 AM,04/19/2024 12:00:00 AM,1355,12,77th Street,1233,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1202 1822 1402 0356 0416 0400 0445 0411 0853,60,F,B,203,OTHER BUSINESS,216,SCISSORS,AA,Adult Arrest,230,998,,,1600 W  SLAUSON                      AV,,33.9892,-118.3045
241309077,05/05/2024 12:00:00 AM,05/04/2024 12:00:00 AM,2330,13,Newton,1307,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1822,33,M,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,OLYMPIC,MCGARRY                      AV,34.0289,-118.2405
241508636,04/05/2024 12:00:00 AM,04/04/2024 12:00:00 AM,1500,15,N Hollywood,1563,2,625,OTHER ASSAULT,0400 0416,50,F,W,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,,,,4500    IRVINE                       AV,,34.1522,-118.3855
240804471,01/12/2024 12:00:00 AM,01/09/2024 12:00:00 AM,2100,08,West LA,0852,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1300,31,F,H,101,STREET,,,IC,Invest Cont,331,,,,11800    IDAHO                        AV,,34.0415,-118.457
241104604,01/17/2024 12:00:00 AM,01/16/2024 12:00:00 AM,1700,11,Northeast,1115,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0419 0444 0448,33,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,4900    EAGLE ROCK                   BL,,34.1351,-118.2152
241514500,10/07/2024 12:00:00 AM,09/28/2024 12:00:00 AM,1305,15,N Hollywood,1535,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,24,M,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,5600    CAMELLIA                     AV,,34.1722,-118.3822
240806838,03/12/2024 12:00:00 AM,03/12/2024 12:00:00 AM,0445,08,West LA,0886,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 1307 1309 0329,79,M,W,101,STREET,,,IC,Invest Cont,740,,,,2700    MOTOR                        AV,,34.0438,-118.4055
240105865,01/26/2024 12:00:00 AM,01/26/2024 12:00:00 AM,1050,01,Central,0152,1,310,BURGLARY,0344 1607,38,M,B,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,800    WILSHIRE                     BL,,34.0493,-118.2582
240707710,03/28/2024 12:00:00 AM,03/27/2024 12:00:00 AM,0830,07,Wilshire,0762,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,26,M,H,116,OTHER/OUTSIDE,,,IC,Invest Cont,740,,,,6100    HORNER                       ST,,34.0496,-118.3747
240113573,06/27/2024 12:00:00 AM,06/27/2024 12:00:00 AM,1300,01,Central,0161,2,622,BATTERY ON A FIREFIGHTER,2004 0446 0444 1213,22,M,W,404,DEPARTMENT STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,622,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
240109217,01/21/2024 12:00:00 AM,01/21/2024 12:00:00 AM,1334,01,Central,0127,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,956,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
241714935,11/11/2024 12:00:00 AM,10/06/2024 12:00:00 AM,0001,17,Devonshire,1795,2,354,THEFT OF IDENTITY,0930,26,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8500    BALBOA                       BL,,34.2248,-118.5151
240506035,02/24/2024 12:00:00 AM,02/22/2024 12:00:00 AM,1930,05,Harbor,0557,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,100 N  MEYLER                       ST,,33.7433,-118.2967
241708371,04/15/2024 12:00:00 AM,04/12/2024 12:00:00 AM,1930,17,Devonshire,1756,1,520,VEHICLE - ATTEMPT STOLEN,0329 1609,27,F,H,101,STREET,,,IC,Invest Cont,520,,,,ZELZAH                       AV,MERRIDY                      ST,34.2522,-118.5233
240105354,01/20/2024 12:00:00 AM,01/20/2024 12:00:00 AM,0400,01,Central,0155,2,624,BATTERY - SIMPLE ASSAULT,0400 0419 0401,58,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,WALL,34.0435,-118.2471
240704280,01/07/2024 12:00:00 AM,01/07/2024 12:00:00 AM,0816,07,Wilshire,0782,2,946,OTHER MISCELLANEOUS CRIME,2004 1300 0329 1501,45,M,H,101,STREET,,,IC,Invest Cont,946,,,,5800    VENICE                       BL,,34.0421,-118.3658
240115183,07/17/2024 12:00:00 AM,07/17/2024 12:00:00 AM,0830,01,Central,0161,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,26,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,900 W  8TH                          ST,,34.0479,-118.2612
242113005,11/01/2024 12:00:00 AM,11/01/2024 12:00:00 AM,1505,21,Topanga,2156,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,50,M,W,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,6600    TOPANGA CANYON               BL,,34.1904,-118.6059
241600568,03/10/2024 12:00:00 AM,03/09/2024 12:00:00 AM,1600,16,Foothill,1656,1,310,BURGLARY,0328 1609 0344 1402,48,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,998,,,7900    CORA                         ST,,34.2532,-118.3056
240707409,03/22/2024 12:00:00 AM,03/20/2024 12:00:00 AM,1705,07,Wilshire,0722,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
241514358,10/04/2024 12:00:00 AM,09/07/2024 12:00:00 AM,1025,15,N Hollywood,1585,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0325,31,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,440,,,,11200    VENTURA                      BL,,34.143,-118.3727
241707459,03/22/2024 12:00:00 AM,03/21/2024 12:00:00 AM,1749,17,Devonshire,1717,2,354,THEFT OF IDENTITY,0930,56,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16300    KALISHER                     ST,,34.2777,-118.4871
241205407,01/23/2024 12:00:00 AM,01/23/2024 12:00:00 AM,1830,12,77th Street,1255,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0400 0447 0416 2002 1817 0602,54,F,H,501,SINGLE FAMILY DWELLING,212,BOTTLE,AA,Adult Arrest,230,,,,7700 S  NORMANDIE                    AV,,33.9702,-118.3003
240307804,03/13/2024 12:00:00 AM,03/13/2024 12:00:00 AM,1730,03,Southwest,0328,2,624,BATTERY - SIMPLE ASSAULT,0429 0913 0400,47,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3100 S  FIGUEROA                     ST,,34.0268,-118.2808
240211863,07/12/2024 12:00:00 AM,07/10/2024 12:00:00 AM,1555,02,Rampart,0212,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394 0352 0344,20,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,600 N  JUANITA                      AV,,34.0818,-118.2905
241506462,02/20/2024 12:00:00 AM,02/20/2024 12:00:00 AM,0915,15,N Hollywood,1529,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 1813 0446,23,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,6200    CLYBOURN                     AV,,34.1829,-118.365
240311528,06/19/2024 12:00:00 AM,06/18/2024 12:00:00 AM,1900,03,Southwest,0379,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0311,36,F,K,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,740,,,,1000    LEIGHTON                     AV,,34.0132,-118.2915
240912686,10/29/2024 12:00:00 AM,10/28/2024 12:00:00 AM,1800,09,Van Nuys,0914,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VAN NUYS                     BL,VOSE                         ST,34.1985,-118.4488
241514115,09/25/2024 12:00:00 AM,09/24/2024 12:00:00 AM,1230,15,N Hollywood,1524,2,624,BATTERY - SIMPLE ASSAULT,1258 0416 0419 0429 2024,11,F,H,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6500    LAUREL CANYON                BL,,34.1869,-118.3987
241011783,10/16/2024 12:00:00 AM,10/16/2024 12:00:00 AM,1819,10,West Valley,1067,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,17400    VENTURA                      BL,,34.166,-118.5095
241815184,12/06/2024 12:00:00 AM,12/05/2024 12:00:00 AM,2200,18,Southeast,1871,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 W  141ST                        ST,,33.9038,-118.2872
241610887,10/16/2024 12:00:00 AM,10/10/2024 12:00:00 AM,2200,16,Foothill,1677,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GLENOAKS                     BL,CABRINI                      DR,34.2094,-118.3442
240315981,11/05/2024 12:00:00 AM,11/03/2024 12:00:00 AM,1900,03,Southwest,0328,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,102,SIDEWALK,,,IC,Invest Cont,522,,,,800 W  32ND                         ST,,34.0248,-118.2818
241510899,05/30/2024 12:00:00 AM,02/15/2024 12:00:00 AM,1200,15,N Hollywood,1557,2,354,THEFT OF IDENTITY,1501,55,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,10700    MAGNOLIA                     BL,,34.1649,-118.3637
241404565,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2000,14,Pacific,1409,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ROBERTSON                    BL,VENICE                       BL,34.0278,-118.3901
242012562,10/10/2024 12:00:00 AM,10/08/2024 12:00:00 AM,1815,20,Olympic,2024,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,32,M,W,717,HEALTH SPA/GYM,,,IC,Invest Cont,440,,,,3600    WILSHIRE                     BL,,34.0636,-118.3047
241212653,06/16/2024 12:00:00 AM,06/16/2024 12:00:00 AM,1920,12,77th Street,1257,2,354,THEFT OF IDENTITY,0100 0922 0929 0923 0924 0925 0930 0935 0926 0928,34,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 W  76TH                         ST,,33.9708,-118.2871
