DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231108279,04/25/2023 12:00:00 AM,04/22/2023 12:00:00 AM,2100,11,Northeast,1151,2,434,FALSE IMPRISONMENT,2004 1218,54,F,H,217,AUTO REPAIR SHOP,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,434,,,,5000 W  SUNSET                       BL,,34.0981,-118.2983
232016729,10/17/2023 12:00:00 AM,10/13/2023 12:00:00 AM,1204,20,Olympic,2056,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,1000 S  VERMONT                      AV,,34.0509,-118.2937
230914096,09/13/2023 12:00:00 AM,08/01/2023 12:00:00 AM,0005,09,Van Nuys,0943,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1912,0,M,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,14100    CHANDLER                     BL,,34.1694,-118.4474
230917193,12/07/2023 12:00:00 AM,12/06/2023 12:00:00 AM,1200,09,Van Nuys,0963,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,14900    MAGNOLIA                     BL,,34.1649,-118.4578
231420321,10/10/2023 12:00:00 AM,10/08/2023 12:00:00 AM,0854,14,Pacific,1414,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 0325,55,M,A,403,DRUG STORE,,,IC,Invest Cont,343,,,,100    LINCOLN                      BL,,33.9976,-118.467
231917389,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0215,19,Mission,1924,1,320,"BURGLARY, ATTEMPTED",1822 1609 1602 1300,0,M,O,244,TOBACCO SHOP,,,IC,Invest Cont,320,,,,14700    RINALDI                      ST,,34.2811,-118.4528
231010061,06/06/2023 12:00:00 AM,03/04/2023 12:00:00 AM,1700,10,West Valley,1075,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0349,80,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,5400    NESTLE                       AV,,34.1683,-118.5296
231812799,07/02/2023 12:00:00 AM,06/01/2023 12:00:00 AM,1900,18,Southeast,1803,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,91ST                         ST,CENTRAL,33.9583,-118.2684
232013153,07/22/2023 12:00:00 AM,06/29/2023 12:00:00 AM,2000,20,Olympic,2034,1,310,BURGLARY,0344 0352 1822,22,F,O,120,STORAGE SHED,,,IC,Invest Cont,310,,,,3500    WILSHIRE                     BL,,34.0617,-118.3004
230118221,08/20/2023 12:00:00 AM,08/20/2023 12:00:00 AM,0140,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0429 1822,38,F,W,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,500 S  GRAND                        AV,,34.0502,-118.2539
230414939,12/03/2023 12:00:00 AM,12/03/2023 12:00:00 AM,0600,04,Hollenbeck,0473,1,210,ROBBERY,1822 0344 0213,0,X,X,210,RESTAURANT/FAST FOOD,103,RIFLE,IC,Invest Cont,210,,,,700 S  SOTO                         ST,,34.0376,-118.2166
231422373,12/29/2023 12:00:00 AM,12/29/2023 12:00:00 AM,0100,14,Pacific,1463,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0342 0345,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,5400    JANDY                        PL,,33.9815,-118.4165
230223138,12/24/2023 12:00:00 AM,12/24/2023 12:00:00 AM,1520,02,Rampart,0257,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0446,45,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500 W  6TH                          ST,,34.0566,-118.2681
231605278,02/06/2023 12:00:00 AM,02/05/2023 12:00:00 AM,1525,16,Foothill,1637,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,41,M,W,101,STREET,,,IC,Invest Cont,420,,,,10700    IRMA                         AV,,34.2633,-118.3008
231114946,10/25/2023 12:00:00 AM,10/25/2023 12:00:00 AM,0245,11,Northeast,1184,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 0416 0429 1822 0334 0342 0302 0446,21,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,998,,,1400 W  SUNSET                       BL,,34.0812,-118.252
231512699,07/27/2023 12:00:00 AM,07/27/2023 12:00:00 AM,0710,15,N Hollywood,1524,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 1100 1402 0906,39,M,O,103,ALLEY,102,HAND GUN,IC,Invest Cont,230,998,,,ERWIN,LAUREL CANYON                BL,34.183,-118.3965
232017891,11/14/2023 12:00:00 AM,11/07/2023 12:00:00 AM,1700,20,Olympic,2074,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420,,,,2700 W  14TH                         ST,,34.0463,-118.3003
231218899,09/04/2023 12:00:00 AM,09/04/2023 12:00:00 AM,1115,12,77th Street,1239,1,210,ROBBERY,0344 0336 0352 1309,49,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,600 W  SLAUSON                      AV,,33.9892,-118.2844
230907398,03/28/2023 12:00:00 AM,03/26/2023 12:00:00 AM,1900,09,Van Nuys,0974,1,330,BURGLARY FROM VEHICLE,0352 0358 1300 0344,34,M,A,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,4600    VISTA DEL MONTE              AV,,34.1548,-118.4499
231217858,08/17/2023 12:00:00 AM,08/17/2023 12:00:00 AM,1830,12,77th Street,1268,2,624,BATTERY - SIMPLE ASSAULT,0913 1259 0444 0429 1276,16,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 E  84TH                         PL,,33.9619,-118.2717
230121943,10/15/2023 12:00:00 AM,10/15/2023 12:00:00 AM,1128,01,Central,0162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402 1420 2004 0325,0,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,341,998,,,700 W  7TH                          ST,,34.048,-118.2577
231104222,01/07/2023 12:00:00 AM,01/04/2023 12:00:00 AM,1300,11,Northeast,1149,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 52,,34.1074,-118.1978
231914438,09/21/2023 12:00:00 AM,09/21/2023 12:00:00 AM,1400,19,Mission,1954,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0416,8,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627,,,,9900    BURNET                       AV,,34.25,-118.463
230909734,05/23/2023 12:00:00 AM,05/23/2023 12:00:00 AM,1500,09,Van Nuys,0915,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0446 0417 0429 0344 1259 1251 0913 1414 1824,17,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230,,,,6800    VAN NUYS                     BL,,34.1976,-118.4443
230706762,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1830,07,Wilshire,0752,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1814 0443,27,F,H,102,SIDEWALK,511,VERBAL THREAT,AO,Adult Other,930,,,,PICO,S  FAIRFAX                      AV,34.0516,-118.3666
231112099,08/11/2023 12:00:00 AM,08/11/2023 12:00:00 AM,0439,11,Northeast,1115,1,310,BURGLARY,0358 1609 0321 0315,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,5000    EAGLE ROCK                   BL,,34.1373,-118.2145
231508365,04/15/2023 12:00:00 AM,04/15/2023 12:00:00 AM,1725,15,N Hollywood,1525,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0446 0913 1817,17,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,11800    KITTRIDGE                    ST,,34.1903,-118.39
