DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241109958,08/13/2024 12:00:00 AM,08/08/2024 12:00:00 AM,2330,11,Northeast,1183,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,19,F,H,101,STREET,,,IC,Invest Cont,330,,,,1800 N  ALVARADO                     ST,,34.0871,-118.2576
240406485,03/20/2024 12:00:00 AM,03/18/2024 12:00:00 AM,1900,04,Hollenbeck,0464,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1202 1300 0385 0344,69,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,331,,,,2100 E  CESAR E CHAVEZ               AV,,34.0485,-118.2115
241609389,07/19/2024 12:00:00 AM,06/11/2024 12:00:00 AM,1542,16,Foothill,1641,2,354,THEFT OF IDENTITY,1822 0930 0928,32,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13300    TERRA BELLA                  ST,,34.2552,-118.4225
241009747,07/04/2024 12:00:00 AM,07/03/2024 12:00:00 AM,1100,10,West Valley,1065,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,5500    LINDLEY                      AV,,34.1708,-118.5272
241208836,03/23/2024 12:00:00 AM,03/23/2024 12:00:00 AM,1230,12,77th Street,1256,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,300 W  75TH                         ST,,33.9718,-118.2783
241310179,06/11/2024 12:00:00 AM,06/11/2024 12:00:00 AM,1330,13,Newton,1321,2,888,TRESPASSING,0910,0,X,X,942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE,,,IC,Invest Cont,888,,,,2400 S  FLOWER                       ST,,34.0293,-118.2736
240118502,09/15/2024 12:00:00 AM,09/15/2024 12:00:00 AM,1300,01,Central,0135,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,300 S  MAIN                         ST,,34.0495,-118.2459
241006479,03/07/2024 12:00:00 AM,03/07/2024 12:00:00 AM,2300,10,West Valley,1045,1,310,BURGLARY,0358 0216 1822 1609 0321,47,F,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,5900    JAMIESON                     AV,,34.178,-118.5217
241607504,04/22/2024 12:00:00 AM,04/21/2024 12:00:00 AM,2300,16,Foothill,1653,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0416 0444 0930,54,F,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,9900    TAMARACK                     AV,,34.2505,-118.41
240212962,08/13/2024 12:00:00 AM,08/10/2024 12:00:00 AM,0425,02,Rampart,0249,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,0,X,X,108,PARKING LOT,,,IC,Invest Cont,341,,,,1100 W  7TH                          ST,,34.0542,-118.2611
240810984,07/23/2024 12:00:00 AM,07/01/2024 12:00:00 AM,2100,08,West LA,0828,2,860,BATTERY WITH SEXUAL CONTACT,0500 0522,27,F,W,702,OFFICE BUILDING/OFFICE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,10500    WILSHIRE                     BL,,34.0649,-118.4372
242111660,09/12/2024 12:00:00 AM,08/01/2024 12:00:00 AM,1800,21,Topanga,2102,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8300    HILLARY                      DR,,34.2192,-118.6406
240804737,01/22/2024 12:00:00 AM,01/18/2024 12:00:00 AM,0030,08,West LA,0835,1,761,BRANDISH WEAPON,0913 1817 0443 0334,23,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",211,AXE,IC,Invest Cont,761,,,,1800    MALCOLM                      AV,,34.0502,-118.4345
241012142,11/07/2024 12:00:00 AM,11/07/2024 12:00:00 AM,1614,10,West Valley,1021,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,49,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,6900    BOTHWELL                     RD,,34.1959,-118.5612
241008548,05/06/2024 12:00:00 AM,05/05/2024 12:00:00 AM,1510,10,West Valley,1008,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,15900    ARMINTA                      ST,,34.2139,-118.4793
241307536,03/17/2024 12:00:00 AM,03/16/2024 12:00:00 AM,2215,13,Newton,1383,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1822,31,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,MAIN                         ST,61ST                         ST,33.9842,-118.2739
242108384,04/24/2024 12:00:00 AM,04/24/2024 12:00:00 AM,1843,21,Topanga,2156,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,0,M,W,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,21700    VICTORY                      BL,,34.1877,-118.6015
240510636,08/12/2024 12:00:00 AM,08/11/2024 12:00:00 AM,2310,05,Harbor,0581,1,330,BURGLARY FROM VEHICLE,1307 0344 1609,67,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,2200 W  25TH                         ST,,33.727,-118.3242
240910097,07/01/2024 12:00:00 AM,06/23/2024 12:00:00 AM,1200,09,Van Nuys,0911,1,330,BURGLARY FROM VEHICLE,0358 0344 1501,45,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,15400    GAULT                        ST,,34.1993,-118.4684
240407341,05/02/2024 12:00:00 AM,05/01/2024 12:00:00 AM,1500,04,Hollenbeck,0439,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,5000    CAVANAGH                     RD,,34.0687,-118.1749
241504300,01/05/2024 12:00:00 AM,01/04/2024 12:00:00 AM,1915,15,N Hollywood,1555,1,330,BURGLARY FROM VEHICLE,1300 0344,29,M,B,504,OTHER RESIDENCE,,,IC,Invest Cont,330,,,,11000    MORRISON                     ST,,34.1611,-118.3704
240104800,01/12/2024 12:00:00 AM,01/08/2024 12:00:00 AM,0700,01,Central,0135,1,330,BURGLARY FROM VEHICLE,1609 1300 0329 1307 0344,45,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,200 S  SPRING                       ST,,34.0517,-118.2456
240214444,09/13/2024 12:00:00 AM,09/12/2024 12:00:00 AM,0200,02,Rampart,0257,1,330,BURGLARY FROM VEHICLE,1822 0344 0329 1609 1307,25,F,H,701,HOSPITAL,,,IC,Invest Cont,330,,,,1200    WILSHIRE                     BL,,34.053,-118.2649
242010026,07/07/2024 12:00:00 AM,07/06/2024 12:00:00 AM,1700,20,Olympic,2035,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  MARIPOSA                     AV,,34.0598,-118.2987
241807167,03/07/2024 12:00:00 AM,03/07/2024 12:00:00 AM,1600,18,Southeast,1862,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2049 1822 2051 0416 0910,36,F,W,895,MTA - SILVER LINE - HARBOR FWY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,11500 S  FIGUEROA                     ST,,33.928,-118.2826
241107869,05/03/2024 12:00:00 AM,05/02/2024 12:00:00 AM,0335,11,Northeast,1176,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,27,M,F,504,OTHER RESIDENCE,,,IC,Invest Cont,331,,,,1500    RIVERSIDE                    DR,,34.0912,-118.2391
241908798,05/11/2024 12:00:00 AM,04/27/2024 12:00:00 AM,1200,19,Mission,1994,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,LANARK                       ST,BRIMFIELD                    AV,34.2179,-118.4583
241704261,01/06/2024 12:00:00 AM,01/06/2024 12:00:00 AM,2115,17,Devonshire,1753,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1609 0329,0,X,X,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,745,,,,9900    MASON                        AV,,34.25,-118.5798
